,coef_0,coef_1,coef_2,coef_3,coef_4,mean,abs(mean)
P4:5530,0.054582582165774975,0.09570913212120459,0.008527006121155522,0.0,0.07924996962848839,0.0476137380073247,0.0476137380073247
P4:5539,0.0,0.054235251302349914,0.0,0.05031545280203977,0.0,0.020910140820877936,0.020910140820877936
P6:76,0.0,0.004929676761435901,0.0,0.05327709367164491,0.02055108673801021,0.015751571434218202,0.015751571434218202
P7 Mono:4196,0.021089473921636584,0.0,0.0,0.0,0.040986335769970676,0.012415161938321453,0.012415161938321453
MFI:79,0.0,0.0,0.015481124026687868,0.040262148818964234,0.0,0.01114865456913042,0.01114865456913042
MFI:658,0.018871032288223982,0.0,0.021804926963726625,0.0,0.011139573851671306,0.010363106620724382,0.010363106620724382
P5 CD8:109,0.0,0.0,0.0,0.048831441713271494,0.0,0.009766288342654299,0.009766288342654299
P4:3645,0.0,0.0,0.0,0.0,0.047932604150823725,0.009586520830164745,0.009586520830164745
P7:23,0.0059454185167746925,0.0,0.0,0.03506026315704888,0.0,0.008201136334764715,0.008201136334764715
P7 Mono:3386,0.0,0.03408591712538208,0.0,0.0,0.0,0.006817183425076416,0.006817183425076416
P7 Mono:4455,0.007129337622467738,0.02388487987292723,0.0,0.0,0.0,0.006202843499078995,0.006202843499078995
MFI:224,0.02612119147844287,0.0,0.0,0.0,0.0,0.005224238295688574,0.005224238295688574
MFI:472,0.0,0.025745332671583007,0.0,0.0,0.0,0.005149066534316601,0.005149066534316601
MFI:76,0.0,0.0027030669968700007,0.02202535491499322,0.0,0.0,0.0049456843823726445,0.0049456843823726445
MFI:103,0.0,0.0,0.022986291550684282,0.0,0.0,0.004597258310136856,0.004597258310136856
MFI:59,0.0,0.022477982546512558,0.0,0.0,0.0,0.004495596509302512,0.004495596509302512
P5 CD8:136,0.0,0.0,0.0,0.018452844280914614,0.0,0.0036905688561829227,0.0036905688561829227
MFI:516,0.0,0.01459872999674524,0.0,0.0,0.0,0.002919745999349048,0.002919745999349048
P2:23259,0.011300072689631761,0.0,0.0,0.0,0.0025741227845828335,0.0027748390948429185,0.0027748390948429185
P1:24559,0.013204203680532847,0.0,0.0,0.0,0.0,0.002640840736106569,0.002640840736106569
P1:9993,0.0,0.011910245733890445,0.0,0.0,0.0,0.002382049146778089,0.002382049146778089
P7 Mono:566,0.0,0.011151340381342547,0.0,0.0,0.0,0.0022302680762685094,0.0022302680762685094
MFI:238,0.0,0.0,0.0,0.0,0.009410981124686425,0.001882196224937285,0.001882196224937285
P4:6227,0.009124936181324466,0.0,0.0,0.0,0.0,0.0018249872362648932,0.0018249872362648932
P5 gd:1855,0.0,0.0,0.008827055368289394,0.0,0.0,0.0017654110736578788,0.0017654110736578788
MFI:8,0.0,0.0,0.008041456898151141,0.0,0.0,0.0016082913796302283,0.0016082913796302283
P1:7721,0.0,0.0,0.0,0.0,0.007737222991654783,0.0015474445983309566,0.0015474445983309566
MFI:410,0.0,0.0,0.0,0.0,0.0064855993389853475,0.0012971198677970695,0.0012971198677970695
P2:6381,-0.0,0.0,0.005762337652593889,0.0,0.0,0.0011524675305187777,0.0011524675305187777
P2:11233,0.0,0.0,0.0,0.004914831454672751,0.0,0.0009829662909345504,0.0009829662909345504
P4:3639,0.0,0.0,0.0,0.0,0.004882387544357406,0.0009764775088714811,0.0009764775088714811
P2:11314,0.0,0.0,0.0,0.0020690308730773907,0.0023941881284764194,0.000892643800310762,0.000892643800310762
P7:186,0.0,0.0036854041424051465,0.0,0.0,0.0,0.0007370808284810293,0.0007370808284810293
P4:3729,0.0,0.0,0.0,0.0,0.0031436878582746697,0.000628737571654934,0.000628737571654934
P2:5236,0.0,0.0,0.0017816260593340166,0.0,0.0,0.0003563252118668033,0.0003563252118668033
P3:159,0.001237828130319468,0.0,0.0,0.0,0.0,0.0002475656260638936,0.0002475656260638936
P1:24560,0.0,0.0011633980345771304,0.0,0.0,0.0,0.00023267960691542608,0.00023267960691542608
P7 Mono:4115,0.0,0.0,0.0,0.0009411083335904735,0.0,0.00018822166671809469,0.00018822166671809469
