,alpha,l1_ratio,mae
0,0.001,0.2,-0.20610360804251243
1,0.001,0.30000000000000004,-0.2052316315460485
2,0.001,0.4000000000000001,-0.20415085473247183
3,0.001,0.5000000000000001,-0.20264719332122233
4,0.001,0.6000000000000001,-0.20098713383250258
5,0.001,0.7000000000000002,-0.19952849059197325
6,0.001,0.8000000000000003,-0.19839100725816342
7,0.001,0.9000000000000001,-0.19721847618643212
8,0.001,1.0000000000000002,
9,0.006,0.2,-0.18251063312233598
10,0.006,0.30000000000000004,-0.1769059451074692
11,0.006,0.4000000000000001,-0.1720800546868495
12,0.006,0.5000000000000001,-0.16757624217012157
13,0.006,0.6000000000000001,-0.16429012785938032
14,0.006,0.7000000000000002,-0.16195742826698395
15,0.006,0.8000000000000003,-0.16024328640111188
16,0.006,0.9000000000000001,-0.15936956233666963
17,0.006,1.0000000000000002,
18,0.011,0.2,-0.17077935742083702
19,0.011,0.30000000000000004,-0.16427977825791837
20,0.011,0.4000000000000001,-0.1605896738043086
21,0.011,0.5000000000000001,-0.15926310916238479
22,0.011,0.6000000000000001,-0.15927919334748614
23,0.011,0.7000000000000002,-0.1598580055285673
24,0.011,0.8000000000000003,-0.16027022545703332
25,0.011,0.9000000000000001,-0.1604708231771902
26,0.011,1.0000000000000002,
27,0.016,0.2,-0.16383898108466452
28,0.016,0.30000000000000004,-0.15965427101096227
29,0.016,0.4000000000000001,-0.15931466897559649
30,0.016,0.5000000000000001,-0.16005031966192984
31,0.016,0.6000000000000001,-0.1604224244860489
32,0.016,0.7000000000000002,-0.16036627900305828
33,0.016,0.8000000000000003,-0.1603436296242901
34,0.016,0.9000000000000001,-0.1603436296242901
35,0.016,1.0000000000000002,
36,0.021,0.2,-0.16028242968605916
37,0.021,0.30000000000000004,-0.1593484966472485
38,0.021,0.4000000000000001,-0.16022169821550775
39,0.021,0.5000000000000001,-0.16042980284989755
40,0.021,0.6000000000000001,-0.1603436296242901
41,0.021,0.7000000000000002,-0.1603436296242901
42,0.021,0.8000000000000003,-0.1603436296242901
43,0.021,0.9000000000000001,-0.1603436296242901
44,0.021,1.0000000000000002,
45,0.026000000000000002,0.2,-0.15932744245430214
46,0.026000000000000002,0.30000000000000004,-0.16002960130297583
47,0.026000000000000002,0.4000000000000001,-0.1604347481762326
48,0.026000000000000002,0.5000000000000001,-0.1603436296242901
49,0.026000000000000002,0.6000000000000001,-0.1603436296242901
50,0.026000000000000002,0.7000000000000002,-0.1603436296242901
51,0.026000000000000002,0.8000000000000003,-0.1603436296242901
52,0.026000000000000002,0.9000000000000001,-0.1603436296242901
53,0.026000000000000002,1.0000000000000002,
54,0.031,0.2,-0.1594021562397345
55,0.031,0.30000000000000004,-0.16038742624003904
56,0.031,0.4000000000000001,-0.1603436296242901
57,0.031,0.5000000000000001,-0.1603436296242901
58,0.031,0.6000000000000001,-0.1603436296242901
59,0.031,0.7000000000000002,-0.1603436296242901
60,0.031,0.8000000000000003,-0.1603436296242901
61,0.031,0.9000000000000001,-0.1603436296242901
62,0.031,1.0000000000000002,
