,labels,en_betas,abs(en_betas)
19616,MFI:469,-0.1624603916415981,0.1624603916415981
16508,P1:22213,-0.08872040187875326,0.08872040187875326
3235,P4:6227,0.052110521916409,0.052110521916409
11884,P2:16111,-0.04431290375840891,0.04431290375840891
3760,P4:3799,-0.03667515296576869,0.03667515296576869
1940,P5 gd:524,0.03102444384126488,0.03102444384126488
70,P7:31,0.03039448952364214,0.03039448952364214
3467,P4:5290,0.028764298949036156,0.028764298949036156
3413,P4:5530,0.02582985184188729,0.02582985184188729
17161,P1:20365,-0.02410094760155473,0.02410094760155473
1340,P7 Mono:1287,0.02235540725627467,0.02235540725627467
19313,P1:10321,-0.020957238466874657,0.020957238466874657
2224,P5 gd:1927,0.017453680614083724,0.017453680614083724
19393,MFI:8,0.013087649174055046,0.013087649174055046
18950,P1:12687,-0.011126643115277807,0.011126643115277807
2048,P5 gd:297,0.008568886682099614,0.008568886682099614
7299,P2:7234,0.008100716049407803,0.008100716049407803
3971,P4:3231,0.007408895424152866,0.007408895424152866
2688,P5 NKT:268,-0.0037957059288629942,0.0037957059288629942
