,labels,en_betas,abs(en_betas)
460,MFI:469,-0.14961529712122443,0.14961529712122443
66734,P4:5287,0.053053428099172566,0.053053428099172566
11908,P1:20054,-0.04398224937877999,0.04398224937877999
3701,P1:12669,-0.035225427131296935,0.035225427131296935
64252,P4:3052,-0.033793701457839276,0.033793701457839276
14307,P1:22213,-0.033375010391971854,0.033375010391971854
70433,P5 gd:523,-0.032833736333046086,0.032833736333046086
33771,P2:16111,-0.027538496020986573,0.027538496020986573
67779,P4:6227,0.023976717849989775,0.023976717849989775
70288,P5 gd:393,0.01537112507750846,0.01537112507750846
78608,P7:31,0.014282163317587549,0.014282163317587549
66708,P4:5263,0.013563095874048211,0.013563095874048211
14573,P1:22453,-0.012193174359013353,0.012193174359013353
65047,P4:3769,-0.008797527366999543,0.008797527366999543
14304,P1:22210,-0.008408473013775824,0.008408473013775824
78422,P7:107,0.007374713185454284,0.007374713185454284
72172,P7 Mono:1287,0.004570682143078823,0.004570682143078823
67763,P4:6212,0.004420877308627757,0.004420877308627757
1004,P1:10240,-0.0032075995027494365,0.0032075995027494365
69805,P5 gd:1927,0.00033639237344564434,0.00033639237344564434
