,labels,en_betas,abs(en_betas)
15691,MFI:469,-0.16436344457384935,0.16436344457384935
13978,P1:22213,-0.08542144454554679,0.08542144454554679
2915,P4:6227,0.057842735850636144,0.057842735850636144
3375,P4:3799,-0.04816490994798362,0.04816490994798362
70,P7:31,0.03971549613962039,0.03971549613962039
14624,P1:20365,-0.0389518389315698,0.0389518389315698
2048,P5 gd:297,0.03321083601770226,0.03321083601770226
1340,P7 Mono:1287,0.03297585915868756,0.03297585915868756
3120,P4:5290,0.031159183787010113,0.031159183787010113
15434,P1:10321,-0.02856308893532731,0.02856308893532731
1940,P5 gd:524,0.0272706582421917,0.0272706582421917
2224,P5 gd:1927,0.02668286801813588,0.02668286801813588
6486,P2:7234,0.026587282369343157,0.026587282369343157
15071,P1:12687,-0.026233987935378806,0.026233987935378806
3071,P4:5530,0.026098935699276477,0.026098935699276477
15511,MFI:8,0.02561995458822545,0.02561995458822545
3547,P4:3231,0.013393957646051129,0.013393957646051129
1844,P5 gd:692,0.013331795477538802,0.013331795477538802
2315,P5 gd:1727,-0.008224477326912106,0.008224477326912106
11781,P1:6061,-0.0059055847997035995,0.0059055847997035995
15700,MFI:457,0.005541457235451948,0.005541457235451948
6488,P2:7231,0.004966615912040853,0.004966615912040853
15959,MFI:122,0.004171731746341381,0.004171731746341381
15069,P1:12696,-0.003805451686771069,0.003805451686771069
14934,P1:13393,-0.0021261501580480233,0.0021261501580480233
2905,P4:6239,0.0010766902412469581,0.0010766902412469581
2770,P4:82,-0.0006759442564000353,0.0006759442564000353
11383,P1:773,0.00016996113719854213,0.00016996113719854213
