,alpha,l1_ratio,mae
0,0.001,0.2,-0.24293756998877553
1,0.001,0.21000000000000002,-0.24297795541464667
2,0.001,0.22000000000000003,-0.24302560462467912
3,0.001,0.23000000000000004,-0.24308516639955863
4,0.001,0.24000000000000005,-0.24314963511955137
5,0.001,0.25000000000000006,-0.2431907134397496
6,0.001,0.26000000000000006,-0.24323102213511041
7,0.001,0.2700000000000001,-0.24327972426771743
8,0.001,0.2800000000000001,-0.24331387556360312
9,0.001,0.2900000000000001,-0.2433401925784934
10,0.001,0.3000000000000001,-0.24336858276871315
11,0.001,0.3100000000000001,-0.24338351888064017
12,0.001,0.3200000000000001,-0.24339031416245585
13,0.001,0.3300000000000001,-0.24338372891801255
14,0.001,0.34000000000000014,-0.24337828419798294
15,0.001,0.35000000000000014,-0.24337690122415678
16,0.001,0.36000000000000015,-0.24338467684567974
17,0.001,0.37000000000000016,-0.2433858037496879
18,0.001,0.38000000000000017,-0.24337571807664196
19,0.001,0.3900000000000002,-0.2433503501920968
20,0.001,0.4000000000000002,-0.243335612351607
21,0.001,0.4100000000000002,-0.24332787124633037
22,0.001,0.4200000000000002,-0.24330863887372278
23,0.001,0.4300000000000002,-0.24327938091079296
24,0.001,0.4400000000000002,-0.24326013333744234
25,0.001,0.45000000000000023,-0.243238886747325
26,0.001,0.46000000000000024,-0.24321616262318246
27,0.001,0.47000000000000025,-0.24318391009571086
28,0.001,0.48000000000000026,-0.24315173876750765
29,0.001,0.49000000000000027,-0.2431193268922179
30,0.001,0.5000000000000002,-0.24308551749172397
31,0.001,0.5100000000000002,-0.24305450793216654
32,0.001,0.5200000000000002,-0.24301745758270268
33,0.001,0.5300000000000002,-0.2429808328495309
34,0.001,0.5400000000000003,-0.24293253293936237
35,0.001,0.5500000000000003,-0.24288090235476278
36,0.001,0.5600000000000003,-0.24283292522751465
37,0.001,0.5700000000000003,-0.24278531197049164
38,0.001,0.5800000000000003,-0.2427399078076692
39,0.001,0.5900000000000003,-0.24269547724467125
40,0.001,0.6000000000000003,-0.24264938724938817
41,0.001,0.6100000000000003,-0.2425940460081472
42,0.001,0.6200000000000003,-0.24253441190517205
43,0.001,0.6300000000000003,-0.24247484797346253
44,0.001,0.6400000000000003,-0.24241375353793468
45,0.001,0.6500000000000004,-0.24235765828940245
46,0.001,0.6600000000000004,-0.24229834942691195
47,0.001,0.6700000000000004,-0.24224100929790715
48,0.001,0.6800000000000004,-0.24217789161036612
49,0.001,0.6900000000000004,-0.2421122462526911
50,0.001,0.7000000000000004,-0.24204955000380038
51,0.001,0.7100000000000004,-0.24199057305979074
52,0.001,0.7200000000000004,-0.2419311573622031
53,0.001,0.7300000000000004,-0.24186655989743852
54,0.001,0.7400000000000004,-0.2417988136829435
55,0.001,0.7500000000000004,-0.2417329226356375
56,0.001,0.7600000000000005,-0.2416690375790159
57,0.001,0.7700000000000005,-0.24160211285302396
58,0.001,0.7800000000000005,-0.2415243798193008
59,0.001,0.7900000000000005,-0.24144708659415776
60,0.001,0.8000000000000005,-0.24136804706111542
61,0.001,0.8100000000000005,-0.24129224325137405
62,0.001,0.8200000000000005,-0.2412177443143449
63,0.001,0.8300000000000005,-0.2411387635233751
64,0.001,0.8400000000000005,-0.241052859792532
65,0.001,0.8500000000000005,-0.24096142673106433
66,0.001,0.8600000000000005,-0.24086535522999492
67,0.001,0.8700000000000006,-0.24076318298749438
68,0.001,0.8800000000000006,-0.2406560019487073
69,0.001,0.8900000000000006,-0.2405510787874956
70,0.001,0.9000000000000006,-0.24044646061008754
71,0.001,0.9100000000000006,-0.2403447591974985
72,0.001,0.9200000000000006,-0.24024122101713738
73,0.001,0.9300000000000006,-0.2401393312091579
74,0.001,0.9400000000000006,-0.2400338662186533
75,0.001,0.9500000000000006,-0.23993678866052498
76,0.001,0.9600000000000006,-0.2398415298751802
77,0.001,0.9700000000000006,-0.23974765895593703
78,0.001,0.9800000000000006,-0.23965082247439448
79,0.001,0.9900000000000007,-0.23954883416371495
80,0.003,0.2,-0.23625615332693098
81,0.003,0.21000000000000002,-0.2360664357847722
82,0.003,0.22000000000000003,-0.23587238789094236
83,0.003,0.23000000000000004,-0.2356940657738734
84,0.003,0.24000000000000005,-0.23551553009989556
85,0.003,0.25000000000000006,-0.2353099406883802
86,0.003,0.26000000000000006,-0.2350917015005134
87,0.003,0.2700000000000001,-0.2348625277096905
88,0.003,0.2800000000000001,-0.23462363900276526
89,0.003,0.2900000000000001,-0.23438824040526743
90,0.003,0.3000000000000001,-0.23413813653362506
91,0.003,0.3100000000000001,-0.23389578378743123
92,0.003,0.3200000000000001,-0.23367046884470846
93,0.003,0.3300000000000001,-0.2334399871231356
94,0.003,0.34000000000000014,-0.23321694922126274
95,0.003,0.35000000000000014,-0.23300105829280776
96,0.003,0.36000000000000015,-0.23277715109863276
97,0.003,0.37000000000000016,-0.23254653957071192
98,0.003,0.38000000000000017,-0.23230702800229336
99,0.003,0.3900000000000002,-0.23207212324238574
100,0.003,0.4000000000000002,-0.2318322554611663
101,0.003,0.4100000000000002,-0.23158514442726197
102,0.003,0.4200000000000002,-0.23133943460412393
103,0.003,0.4300000000000002,-0.23110323532126967
104,0.003,0.4400000000000002,-0.23088063784148635
105,0.003,0.45000000000000023,-0.23065811996829613
106,0.003,0.46000000000000024,-0.23043288428481518
107,0.003,0.47000000000000025,-0.23021364052896273
108,0.003,0.48000000000000026,-0.23000514377384457
109,0.003,0.49000000000000027,-0.22979684036642525
110,0.003,0.5000000000000002,-0.22959093189746038
111,0.003,0.5100000000000002,-0.22938553453241275
112,0.003,0.5200000000000002,-0.2291708288204026
113,0.003,0.5300000000000002,-0.22895851694806493
