,labels,en_betas,abs(en_betas)
19616,MFI:469,-0.1624603916415981,0.1624603916415981
16508,P1:22213,-0.08872040187875321,0.08872040187875321
3235,P4:6227,0.05211052191640905,0.05211052191640905
11884,P2:16111,-0.04431290375840891,0.04431290375840891
3760,P4:3799,-0.03667515296576873,0.03667515296576873
1940,P5 gd:524,0.03102444384126476,0.03102444384126476
70,P7:31,0.030394489523642165,0.030394489523642165
3467,P4:5290,0.028764298949036208,0.028764298949036208
3413,P4:5530,0.02582985184188724,0.02582985184188724
17161,P1:20365,-0.024100947601554734,0.024100947601554734
1340,P7 Mono:1287,0.022355407256274676,0.022355407256274676
19313,P1:10321,-0.020957238466874563,0.020957238466874563
2224,P5 gd:1927,0.01745368061408369,0.01745368061408369
19393,MFI:8,0.013087649174055015,0.013087649174055015
18950,P1:12687,-0.01112664311527795,0.01112664311527795
2048,P5 gd:297,0.008568886682099769,0.008568886682099769
7299,P2:7234,0.008100716049407842,0.008100716049407842
3971,P4:3231,0.007408895424152783,0.007408895424152783
2688,P5 NKT:268,-0.0037957059288630684,0.0037957059288630684
