,labels,en_betas,abs(en_betas)
10058,MFI:469,-0.1645682157250722,0.1645682157250722
9039,P1:22213,-0.10308531858382093,0.10308531858382093
1972,P4:6227,0.059500700319812104,0.059500700319812104
1301,P5 gd:524,0.054182425242455666,0.054182425242455666
2322,P4:3799,-0.05128885253174573,0.05128885253174573
159,P7:107,0.03783971535123932,0.03783971535123932
2125,P4:5290,0.036138694126093565,0.036138694126093565
4473,P2:7234,0.03435647706605914,0.03435647706605914
1494,P5 gd:1927,0.03258659600260384,0.03258659600260384
9648,P1:12687,-0.03145355513891297,0.03145355513891297
840,P7 Mono:1287,0.031242373945912935,0.031242373945912935
9836,P1:10321,-0.0303629535850505,0.0303629535850505
2091,P4:5530,0.029767149278467336,0.029767149278467336
9897,MFI:8,0.02917447606430138,0.02917447606430138
8947,P1:22700,-0.011226784932231029,0.011226784932231029
10065,MFI:457,0.009335400002365074,0.009335400002365074
1564,P5 gd:1625,0.009213846518266849,0.009213846518266849
9647,P1:12696,-0.008719322632030969,0.008719322632030969
1848,P4:82,-0.0078013046746836096,0.0078013046746836096
10271,MFI:160,0.0074799799309920555,0.0074799799309920555
7672,P1:6061,-0.006765121474610915,0.006765121474610915
10298,MFI:131,0.0033371047863747687,0.0033371047863747687
1305,P5 gd:515,0.0032286020412218767,0.0032286020412218767
197,P7 Mono:930,0.0029912531227043355,0.0029912531227043355
9581,P1:13393,-0.0020016490749041175,0.0020016490749041175
1648,P5 gd:1328,-0.0010099619079834844,0.0010099619079834844
7424,P1:773,0.0007265290388616313,0.0007265290388616313
