,alpha,l1_ratio,mae
0,0.001,0.2,-0.24126634028833574
1,0.001,0.21000000000000002,-0.24137321620224753
2,0.001,0.22000000000000003,-0.24146954591625713
3,0.001,0.23000000000000004,-0.24155240745070325
4,0.001,0.24000000000000005,-0.24162544452821416
5,0.001,0.25000000000000006,-0.24169102986551108
6,0.001,0.26000000000000006,-0.2417540202285446
7,0.001,0.2700000000000001,-0.24180929546281227
8,0.001,0.2800000000000001,-0.241873839372882
9,0.001,0.2900000000000001,-0.2419372655216033
10,0.001,0.3000000000000001,-0.24199123186300167
11,0.001,0.3100000000000001,-0.2420412640306621
12,0.001,0.3200000000000001,-0.242094437113138
13,0.001,0.3300000000000001,-0.24215195813398158
14,0.001,0.34000000000000014,-0.2422110940239712
15,0.001,0.35000000000000014,-0.24226166030459867
16,0.001,0.36000000000000015,-0.24231177147338226
17,0.001,0.37000000000000016,-0.24235719690194266
18,0.001,0.38000000000000017,-0.24238702548609092
19,0.001,0.3900000000000002,-0.24241499675910333
20,0.001,0.4000000000000002,-0.24244377110848694
21,0.001,0.4100000000000002,-0.2424807475748958
22,0.001,0.4200000000000002,-0.24252711014299658
23,0.001,0.4300000000000002,-0.24256579400915523
24,0.001,0.4400000000000002,-0.24260409455231044
25,0.001,0.45000000000000023,-0.24264405546748583
26,0.001,0.46000000000000024,-0.24267162296288194
27,0.001,0.47000000000000025,-0.24268938968453116
28,0.001,0.48000000000000026,-0.24270375166397828
29,0.001,0.49000000000000027,-0.24269512677813412
30,0.001,0.5000000000000002,-0.24267180461351162
31,0.001,0.5100000000000002,-0.24264165932500548
32,0.001,0.5200000000000002,-0.24261434425390835
33,0.001,0.5300000000000002,-0.24258794137170342
34,0.001,0.5400000000000003,-0.24256152379029972
35,0.001,0.5500000000000003,-0.2425360207571912
36,0.001,0.5600000000000003,-0.24250790154868176
37,0.001,0.5700000000000003,-0.2424764183112466
38,0.001,0.5800000000000003,-0.24244252184263976
39,0.001,0.5900000000000003,-0.24240186436398448
40,0.001,0.6000000000000003,-0.2423537575531623
41,0.001,0.6100000000000003,-0.24230214933113756
42,0.001,0.6200000000000003,-0.24225373608420409
43,0.001,0.6300000000000003,-0.24221476956112167
44,0.001,0.6400000000000003,-0.24216298582720594
45,0.001,0.6500000000000004,-0.24210359022241518
46,0.001,0.6600000000000004,-0.2420376188424275
47,0.001,0.6700000000000004,-0.24196679422684042
48,0.001,0.6800000000000004,-0.24189638818517734
49,0.001,0.6900000000000004,-0.2418234717321027
50,0.001,0.7000000000000004,-0.24174816031143603
51,0.001,0.7100000000000004,-0.24166038056839978
52,0.001,0.7200000000000004,-0.24157933559649095
53,0.001,0.7300000000000004,-0.2414960825658117
54,0.001,0.7400000000000004,-0.24140270214356277
55,0.001,0.7500000000000004,-0.2413104277984169
56,0.001,0.7600000000000005,-0.24121100829548098
57,0.001,0.7700000000000005,-0.24111691726212928
58,0.001,0.7800000000000005,-0.24101842135470958
59,0.001,0.7900000000000005,-0.2409154365243919
60,0.001,0.8000000000000005,-0.24081722958662283
61,0.001,0.8100000000000005,-0.24072152306514166
62,0.001,0.8200000000000005,-0.2406345607880752
63,0.001,0.8300000000000005,-0.24054942706951848
64,0.001,0.8400000000000005,-0.24045832322857114
65,0.001,0.8500000000000005,-0.24036739125331053
66,0.001,0.8600000000000005,-0.2402696256804565
67,0.001,0.8700000000000006,-0.2401665153004839
68,0.001,0.8800000000000006,-0.24007041929669545
69,0.001,0.8900000000000006,-0.23997981451447858
70,0.001,0.9000000000000006,-0.23989281390959322
71,0.001,0.9100000000000006,-0.23980458375262
72,0.001,0.9200000000000006,-0.23971938463982814
73,0.001,0.9300000000000006,-0.23963308369551053
74,0.001,0.9400000000000006,-0.2395471735629144
75,0.001,0.9500000000000006,-0.23946862407672415
76,0.001,0.9600000000000006,-0.23939032175123115
77,0.001,0.9700000000000006,-0.23930344633811004
78,0.001,0.9800000000000006,-0.23920944942883685
79,0.001,0.9900000000000007,-0.23912352508388104
80,0.003,0.2,-0.23505695345254118
