,labels,en_betas,abs(en_betas)
460,MFI:469,-0.14961529712122412,0.14961529712122412
66734,P4:5287,0.05305342809917254,0.05305342809917254
11908,P1:20054,-0.043982249378779516,0.043982249378779516
3701,P1:12669,-0.03522542713129704,0.03522542713129704
64252,P4:3052,-0.0337937014578386,0.0337937014578386
14307,P1:22213,-0.03337501039197316,0.03337501039197316
70433,P5 gd:523,-0.03283373633304613,0.03283373633304613
33771,P2:16111,-0.027538496020986535,0.027538496020986535
67779,P4:6227,0.023976717849989622,0.023976717849989622
70288,P5 gd:393,0.015371125077508497,0.015371125077508497
78608,P7:31,0.014282163317587405,0.014282163317587405
66708,P4:5263,0.013563095874048215,0.013563095874048215
14573,P1:22453,-0.012193174359013396,0.012193174359013396
65047,P4:3769,-0.00879752736699992,0.00879752736699992
14304,P1:22210,-0.008408473013774873,0.008408473013774873
78422,P7:107,0.007374713185454282,0.007374713185454282
72172,P7 Mono:1287,0.004570682143078561,0.004570682143078561
67763,P4:6212,0.004420877308627848,0.004420877308627848
1004,P1:10240,-0.003207599502749297,0.003207599502749297
69805,P5 gd:1927,0.00033639237344578685,0.00033639237344578685
