,labels,en_betas,abs(en_betas)
14417,MFI:469,-0.13406120888482656,0.13406120888482656
57124,P1:20054,-0.03200912589301745,0.03200912589301745
12549,P4:5287,0.03185325380320822,0.03185325380320822
46737,P1:12669,-0.030435697505691396,0.030435697505691396
613,P5 gd:523,-0.02567131499838168,0.02567131499838168
34996,P1:22210,-0.022735750105255914,0.022735750105255914
49459,P1:22213,-0.020857375504420277,0.020857375504420277
25935,P4:5260,0.020303266064071315,0.020303266064071315
61344,P4:3052,-0.01910593864046522,0.01910593864046522
46247,P4:3769,-0.01570480895947821,0.01570480895947821
28524,P4:6227,0.015698035146510508,0.015698035146510508
40845,P1:22453,-0.011268140762929363,0.011268140762929363
1246,P7:107,0.009576515771218557,0.009576515771218557
44311,P7:31,0.006578083929490962,0.006578083929490962
45062,P5 gd:393,0.00609103933023984,0.00609103933023984
51003,P4:6212,0.00427548337147663,0.00427548337147663
25259,P4:6239,0.0013804768048745967,0.0013804768048745967
