,feature_name,marker_definition,parent_population,betas,p_1
0,P1:24317,27-57+127-244-RA+,DPT,-0.0,0.950592
1,P1:13375,27+31-95+244+RA+,CD8,-0.0,0.348338
2,P2:4837,38+39+127-PD1+,CD4,0.0,0.865439
3,P1:24624,27+28-57+95+244-RA+,DPT,-0.0,0.426737
4,P2:350,25+38+39-73-127-DR+PD1-RO+,DPT,-0.0,0.915133
5,P1:23699,27+28+31+57+95+127-244+,DPT,-0.0,0.745246
6,P4:2007,CD2+314+337-158a-R7+,16+56-,-0.0,0.25708
7,P2:25167,38-39+73+127-RO+,DPT,-0.0,0.0736473
8,P3:8274,PD1+R4+R10+XR3-XR5+,CD8/Naive,-0.0,0.833182
9,P3:4318,161-PD1+R4-R6+XR5+,CD4/Naive,-0.0,0.776514
10,P1:22689,27-28+95+127+244-,DPT,-0.0,0.802594
11,P2:9310,73+DR+PD1+RO-,CD8,-0.0,0.009444
12,P1:401,27-28-31+57+95+127-244-RA-,DPT,-0.0,0.0754082
13,P1:5572,27-28-57-244-RA+,CD4,-0.0,0.492088
14,P1:21318,27+28-57+95+127+RA-,DPT,-0.0,0.521203
15,P1:24947,27-28+57-127-RA+,DPT,0.0,0.546493
16,P2:26112,73-DR+PD1+RO+,DPT,-0.0,0.107337
17,P2:25576,25+39+73+127+DR+RO+,DPT,0.0,0.934646
18,P2:26225,25+38+39+127+DR+PD1+RO+,DPT,0.0,0.827204
19,P4:757,CD2+314+334+337+R7-,16+56-,0.0,0.597537
20,P7 Mono:5557,11c+16-64+DR+,Monocytes,-0.0,0.495385
21,P2:23232,25-38-39+73-127-DR+,DPT,-0.0,0.329829
22,P3:4337,PD1+R4+R6+XR5+,CD4/Naive,-0.0,0.903661
23,P1:303,27+28+31-57+95-127+244-RA+,DPT,-0.0,0.129508
24,P3:6136,PD1-R4+XR3-XR5+,CD8/Memory,-0.0,0.773927
25,P1:8290,28+31+95-RA-,CD8,0.0,0.535069
26,P5 gd:1774,R5-,Vg9+/Vd2Low,-0.0,0.295513
27,P1:286,27+28-31-57-95-127+244-RA-,DPT,0.0,0.106439
28,P1:2016,27+28-31-57-RA-,CD4,-0.0,0.795555
29,P1:9458,27-28+57+95-127-244-,CD8,-0.0,0.709326
30,P4:2043,CD2+314+334+158a-R7+,16+56-,0.0,0.0723985
31,P3:5416,161-XR3-,CD8/Memory,-0.0,0.103587
32,P1:12253,27-57-95-127-RA+,CD8,-0.0,0.0611851
33,P1:25115,27-31+57-95-RA+,DPT,0.0,0.861428
34,P1:5869,28+31+57+127+244-RA+,CD4,-0.0,0.237926
35,P4:5646,314-334+337+158a+,56+16-,0.0,
36,P1:5339,27-31-57-127-244-RA+,CD4,-0.0,0.453349
37,P1:2707,27+31+57+95-244+RA-,CD4,0.0,0.664999
38,P7:117,32+274+,11c+ (nodim)/1c-/16+,0.0,0.657069
39,P2:25327,25+38+73+127+RO+,DPT,0.0,0.705728
