,0
ikir,f_kir2dl2_s
data_source,Data/Subsets/clustered_0.95_and_restricted_to_phenos_with_less_thn_10_zeros_05042023.csv
best_gs_mae,-0.18866330114135205
avg_neg_mae,-0.19468832309043022
solver,['saga']
penalty,['elasticnet']
l1_ratio,"[0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65 0.7
 0.75 0.8  0.85 0.9 ]"
C,"[0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65 0.7
 0.75 0.8  0.85 0.9 ]"
fit_intercept,[True]
max_iter,[100]
n_jobs,[15]
optimal_h_parms,"{'C': 0.4, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 100, 'n_jobs': 15, 'penalty': 'elasticnet', 'solver': 'saga'}"
coef_counts,"[8794, 8665, 8630, 8980, 8877]"
run_time,4481.138598918915
run_id,b6fe42a885cb4d58bba410747a2b30f3
