,coef_weight_0,coef_weight_1,coef_weight_2,coef_weight_3,coef_weight_4,coef_weight_mean,label,abs(cwm)
15691,-0.08294297349672006,-0.12733990007950446,-0.11318283789500265,-0.1211498356466478,-0.08696382820419922,-0.10631587506441484,MFI:469,0.10631587506441484
150,-0.11760102252795246,-0.1354820522031702,-0.08679714039448644,-0.09873244491727617,-0.06640977563288078,-0.10100448713515323,P7:184,0.10100448713515323
2915,0.060332996315139206,0.10870748562455289,0.1018580959892014,0.08267120512266596,0.06533729738905701,0.0837814160881233,P4:6227,0.0837814160881233
211,-0.046334977010619276,-0.06113578546120714,-0.11362958704199766,-0.07494893507198351,-0.09193802342321399,-0.07759746160180432,P7:108,0.07759746160180432
3071,0.07129150964191755,0.08247047471248381,0.08381197768512184,0.09735273434651252,0.04613580855714201,0.07621250098863555,P4:5530,0.07621250098863555
2873,0.09078642782685119,0.04484025298213996,0.07269225868778725,0.0699588155962445,0.06412766088924143,0.06848108319645287,P4:6320,0.06848108319645287
40,-0.08287064882392611,-0.08841672651598466,-0.06367013885002577,-0.0639965110571321,-0.04310160549680211,-0.06841112614877415,P7:6,0.06841112614877415
213,-0.03633879499157775,-0.055064766923900166,-0.09098951698156375,-0.06219652824265144,-0.09038105565489672,-0.06699413255891797,P7:105,0.06699413255891797
3062,0.03786239753695354,0.0824963449012345,0.08879432485155492,0.07872107341063528,0.03534064727334602,0.06464295759474485,P4:5539,0.06464295759474485
2781,0.04095531835833563,0.08123521325896084,0.0796776387820476,0.06679214661639687,0.04366921880005734,0.06246590716315966,P4:66,0.06246590716315966
11,-0.07606343588216409,-0.07000311907018289,-0.05757361743677209,-0.054173338013622785,-0.04606429554140606,-0.06077556118882958,P7:89,0.06077556118882958
2328,0.022408959300008,0.09851922930016138,0.08322476022468882,0.07433254279570316,0.019951107990685574,0.059687319922249384,P5 gd:166,0.059687319922249384
148,0.07728169603556953,0.09461752112839922,0.04431315743823083,0.05955626099025964,0.01978167342264843,0.05911006180302153,P7:186,0.05911006180302153
15972,-0.015582632190020271,-0.08142388522779309,-0.0617433820793686,-0.06885701834625942,-0.054519013925553896,-0.05642518635379906,MFI:102,0.05642518635379906
15720,-0.105817149590907,-0.014500057553029718,-0.027033892022483883,-0.08067216398845815,-0.0472159800223007,-0.055047848635435895,MFI:424,0.055047848635435895
15734,0.01922850392503985,0.0025166956684128166,0.06236857771484648,0.0981489653254129,0.0750500888893454,0.05146256630461149,MFI:410,0.05146256630461149
1922,-0.03927247964056769,-0.05318336909804658,-0.051544100726518764,-0.05053282143658102,-0.056940565447634386,-0.05029466726986968,P5 gd:553,0.05029466726986968
3459,-0.027771949439586698,-0.05070031131872181,-0.05691519494224433,-0.0653451198002122,-0.04554816284358921,-0.049256147668870855,P4:3556,0.049256147668870855
3995,-0.07029468356164778,-0.04490279717827393,-0.03773808860714727,-0.05048421083701026,-0.03515529546621875,-0.0477150151300596,P3:7962,0.0477150151300596
