,C,fit_intercept,l1_ratio,max_iter,n_jobs,penalty,solver,avg_neg_mae
0,0.05,True,0.05,100,15,elasticnet,saga,-0.16811896400351184
1,0.05,True,0.1,100,15,elasticnet,saga,-0.16811896400351184
2,0.05,True,0.15000000000000002,100,15,elasticnet,saga,-0.16811896400351184
3,0.05,True,0.2,100,15,elasticnet,saga,-0.16811896400351184
4,0.05,True,0.25,100,15,elasticnet,saga,-0.16811896400351184
5,0.05,True,0.3,100,15,elasticnet,saga,-0.16811896400351184
6,0.05,True,0.35000000000000003,100,15,elasticnet,saga,-0.16811896400351184
7,0.05,True,0.4,100,15,elasticnet,saga,-0.16811896400351184
8,0.05,True,0.45,100,15,elasticnet,saga,-0.16811896400351184
9,0.05,True,0.5,100,15,elasticnet,saga,-0.16811896400351184
10,0.05,True,0.55,100,15,elasticnet,saga,-0.16811896400351184
11,0.05,True,0.6000000000000001,100,15,elasticnet,saga,-0.16811896400351184
12,0.05,True,0.6500000000000001,100,15,elasticnet,saga,-0.16811896400351184
13,0.05,True,0.7000000000000001,100,15,elasticnet,saga,-0.16811896400351184
14,0.05,True,0.7500000000000001,100,15,elasticnet,saga,-0.16811896400351184
15,0.05,True,0.8,100,15,elasticnet,saga,-0.16811896400351184
16,0.05,True,0.8500000000000001,100,15,elasticnet,saga,-0.16811896400351184
17,0.05,True,0.9000000000000001,100,15,elasticnet,saga,-0.16811896400351184
18,0.1,True,0.05,100,15,elasticnet,saga,-0.16739464442493415
19,0.1,True,0.1,100,15,elasticnet,saga,-0.16811896400351184
20,0.1,True,0.15000000000000002,100,15,elasticnet,saga,-0.16811896400351184
21,0.1,True,0.2,100,15,elasticnet,saga,-0.16811896400351184
22,0.1,True,0.25,100,15,elasticnet,saga,-0.16811896400351184
23,0.1,True,0.3,100,15,elasticnet,saga,-0.16811896400351184
24,0.1,True,0.35000000000000003,100,15,elasticnet,saga,-0.16811896400351184
25,0.1,True,0.4,100,15,elasticnet,saga,-0.16811896400351184
26,0.1,True,0.45,100,15,elasticnet,saga,-0.16811896400351184
27,0.1,True,0.5,100,15,elasticnet,saga,-0.16811896400351184
28,0.1,True,0.55,100,15,elasticnet,saga,-0.16811896400351184
29,0.1,True,0.6000000000000001,100,15,elasticnet,saga,-0.16811896400351184
30,0.1,True,0.6500000000000001,100,15,elasticnet,saga,-0.16811896400351184
31,0.1,True,0.7000000000000001,100,15,elasticnet,saga,-0.16811896400351184
32,0.1,True,0.7500000000000001,100,15,elasticnet,saga,-0.16811896400351184
33,0.1,True,0.8,100,15,elasticnet,saga,-0.16811896400351184
34,0.1,True,0.8500000000000001,100,15,elasticnet,saga,-0.16811896400351184
35,0.1,True,0.9000000000000001,100,15,elasticnet,saga,-0.16811896400351184
36,0.15000000000000002,True,0.05,100,15,elasticnet,saga,-0.16591308165057067
37,0.15000000000000002,True,0.1,100,15,elasticnet,saga,-0.1688542581211589
38,0.15000000000000002,True,0.15000000000000002,100,15,elasticnet,saga,-0.16811896400351184
