,labels,lr_coef,abs(lr_coef)
15691,MFI:469,-3.580730959398915,3.580730959398915
3071,P4:5530,2.323425734394274,2.323425734394274
2915,P4:6227,1.743324838932626,1.743324838932626
3062,P4:5539,1.394549071956438,1.394549071956438
13978,P1:22213,-1.3801215624822305,1.3801215624822305
2315,P5 gd:1727,-1.3636792261426263,1.3636792261426263
14624,P1:20365,-1.178170377080459,1.178170377080459
70,P7:31,1.1776772487780804,1.1776772487780804
150,P7:184,-1.0911300638811456,1.0911300638811456
15511,MFI:8,1.0861086189184965,1.0861086189184965
1844,P5 gd:692,1.0708268285838092,1.0708268285838092
15934,MFI:149,1.0704783337934927,1.0704783337934927
2337,P5 gd:1625,1.0160320392813693,1.0160320392813693
1940,P5 gd:524,0.982804022585313,0.982804022585313
148,P7:186,0.9192877714137834,0.9192877714137834
2250,P5 gd:1867,-0.916811583526952,0.916811583526952
1369,P6:76,0.9121021150804197,0.9121021150804197
2258,P5 gd:1852,0.8733253128872269,0.8733253128872269
1109,P7 Mono:3409,-0.8577993732387128,0.8577993732387128
1884,P5 gd:632,0.856018866832127,0.856018866832127
15552,MFI:658,0.8544787225038014,0.8544787225038014
2328,P5 gd:166,0.8492182109132936,0.8492182109132936
3453,P4:3562,-0.8453395133919639,0.8453395133919639
2048,P5 gd:297,0.8341380664467486,0.8341380664467486
40,P7:6,-0.8240162720839371,0.8240162720839371
2781,P4:66,0.8069546828565664,0.8069546828565664
2770,P4:82,-0.7916355902484892,0.7916355902484892
1850,P5 gd:683,0.7903645401094307,0.7903645401094307
2235,P5 gd:1895,-0.7805881610227264,0.7805881610227264
6486,P2:7234,0.7782330361264805,0.7782330361264805
15512,MFI:79,0.7649940944169453,0.7649940944169453
15595,MFI:59,0.760896773124803,0.760896773124803
1922,P5 gd:553,-0.7475318127085503,0.7475318127085503
2471,P5 gd:1328,-0.7378742411387732,0.7378742411387732
14014,P1:22132,-0.730547862866251,0.730547862866251
1977,P5 gd:451,-0.7107757104481296,0.7107757104481296
1903,P5 gd:596,0.706759514170329,0.706759514170329
3459,P4:3556,-0.6986615697934209,0.6986615697934209
1352,P6:98,-0.6868195039896642,0.6868195039896642
1364,P6:80,0.6814956451302602,0.6814956451302602
1527,P6:101,-0.6783816713304571,0.6783816713304571
15972,MFI:102,-0.6709071728071848,0.6709071728071848
13657,P1:23378,-0.6646634301670127,0.6646634301670127
14751,P1:20030,-0.6572310102716497,0.6572310102716497
3375,P4:3799,-0.6517512676477644,0.6517512676477644
53,P7:48,0.6513514551045906,0.6513514551045906
2017,P5 gd:370,0.6493219968126278,0.6493219968126278
2334,P5 gd:1640,-0.6492570913933696,0.6492570913933696
15604,MFI:58,0.6490485718219233,0.6490485718219233
6425,P2:761,0.6487620989340688,0.6487620989340688
1838,P5 gd:7,0.6460377517427439,0.6460377517427439
2064,P5 gd:235,-0.6434902299853132,0.6434902299853132
9611,P2:21075,-0.6425540228585307,0.6425540228585307
15497,MFI:92,-0.6413111323641845,0.6413111323641845
383,P7 Mono:654,-0.6391213752648593,0.6391213752648593
2254,P5 gd:1859,-0.6367847769182223,0.6367847769182223
211,P7:108,-0.6349027176084672,0.6349027176084672
3045,P4:5572,-0.6335280193833337,0.6335280193833337
15922,MFI:161,-0.6276245193511765,0.6276245193511765
1367,P6:78,-0.6240317651110274,0.6240317651110274
13822,P1:22700,-0.6228597218905884,0.6228597218905884
1351,P6:99,0.6203534251169293,0.6203534251169293
3503,P4:3402,0.6119692542889222,0.6119692542889222
16002,Lin:31,0.6095715083411014,0.6095715083411014
13977,P1:22214,-0.6080742037681647,0.6080742037681647
1370,P6:75,-0.6051611766517193,0.6051611766517193
6488,P2:7231,0.6038817906307087,0.6038817906307087
15528,MFI:68,0.6013809809600936,0.6013809809600936
15939,MFI:144,0.5953829374118507,0.5953829374118507
2873,P4:6320,0.5925980504543703,0.5925980504543703
2779,P4:69,-0.5890846006975718,0.5890846006975718
2230,P5 gd:1904,0.5882689781392944,0.5882689781392944
2980,P4:5859,-0.5875097503418326,0.5875097503418326
15174,P1:12022,-0.5854839447495657,0.5854839447495657
1746,P5 gd:84,-0.5836481657265175,0.5836481657265175
209,P7:110,0.5813558361059153,0.5813558361059153
452,P7 Mono:6394,0.580431390821402,0.580431390821402
3477,P4:3486,0.580037338356789,0.580037338356789
3085,P4:5491,-0.5794312723202475,0.5794312723202475
2794,P4:6542,0.5773704682492132,0.5773704682492132
1896,P5 gd:607,-0.5772937779604815,0.5772937779604815
2462,P5 gd:135,-0.5771761578686544,0.5771761578686544
6296,P2:8413,-0.5708467691480182,0.5708467691480182
12331,P1:3781,0.5707813742528075,0.5707813742528075
15071,P1:12687,-0.5697241770881831,0.5697241770881831
164,P7:165,0.5668337088456825,0.5668337088456825
1924,P5 gd:551,0.5647359689598238,0.5647359689598238
15959,MFI:122,0.5632062535116502,0.5632062535116502
2985,P4:5850,-0.5621984784355316,0.5621984784355316
14639,P1:20308,-0.5581263173563639,0.5581263173563639
3144,P4:4904,0.5564634620421643,0.5564634620421643
145,P7:190,0.5563806858499359,0.5563806858499359
162,P7:167,-0.5552268791187714,0.5552268791187714
3529,P4:3313,-0.5542813881446103,0.5542813881446103
1481,P6:194,-0.5535264492602637,0.5535264492602637
15553,MFI:657,-0.5506179756677815,0.5506179756677815
15951,MFI:131,0.5500330638587752,0.5500330638587752
15571,MFI:64,-0.5479451875970488,0.5479451875970488
43,P7:57,-0.5451601015691652,0.5451601015691652
3505,P4:3396,0.5435909945247972,0.5435909945247972
5797,P2:9806,-0.5434031573852063,0.5434031573852063
1975,P5 gd:454,-0.5414863442147071,0.5414863442147071
3149,P4:4838,-0.5412968277557274,0.5412968277557274
15593,MFI:60,-0.5409815255190121,0.5409815255190121
2026,P5 gd:343,0.5400570276290669,0.5400570276290669
3485,P4:3473,-0.5334096077322313,0.5334096077322313
2368,P5 gd:1513,0.530894987441254,0.530894987441254
2351,P5 gd:1573,-0.5244331471292366,0.5244331471292366
10633,P2:10535,-0.5217113533838154,0.5217113533838154
1420,P6:31,-0.5192595922433865,0.5192595922433865
15991,Lin:41,-0.5172444857250382,0.5172444857250382
1748,P5 gd:838,-0.5170674287279843,0.5170674287279843
3429,P4:3645,0.5137666871962112,0.5137666871962112
3507,P4:3393,0.5119145236202503,0.5119145236202503
2052,P5 gd:275,0.5115298859413663,0.5115298859413663
10106,P2:13324,0.5109800299414482,0.5109800299414482
16005,Lin:28,-0.5105699393469548,0.5105699393469548
168,P7:16,-0.5093712401602706,0.5093712401602706
13516,P1:2382,0.5064279654389888,0.5064279654389888
9532,P2:21230,0.5064080772167393,0.5064080772167393
3066,P4:5535,-0.5046154068781638,0.5046154068781638
13985,P1:2220,-0.5028113309080611,0.5028113309080611
711,P7 Mono:5488,-0.5015809399605463,0.5015809399605463
1007,P7 Mono:4115,0.5005398425708354,0.5005398425708354
3995,P3:7962,-0.4997245870777493,0.4997245870777493
1492,P6:174,-0.49940097440570824,0.49940097440570824
3080,P4:5521,0.4939827904614451,0.4939827904614451
155,P7:174,-0.4935856313441824,0.4935856313441824
165,P7:164,-0.4919626281853443,0.4919626281853443
1923,P5 gd:552,-0.49194212813819305,0.49194212813819305
1684,P5 gd:940,0.49170641347140154,0.49170641347140154
2286,P5 gd:1794,-0.48953141805025596,0.48953141805025596
2960,P4:60,-0.4888254128948629,0.4888254128948629
15938,MFI:145,0.48470899024742164,0.48470899024742164
15632,MFI:549,-0.4845855118229829,0.4845855118229829
2584,P5 NKT:96,0.4843025999024577,0.4843025999024577
8669,P2:23438,0.4834758528910502,0.4834758528910502
4552,P3:5906,0.4820692923769015,0.4820692923769015
15505,MFI:85,0.4818075932186586,0.4818075932186586
5796,P2:9807,-0.47968519574579094,0.47968519574579094
236,P7 Mono:966,0.47760743698963226,0.47760743698963226
15581,MFI:63,0.4757645773075243,0.4757645773075243
