,0
data_source,Data/Subsets/clustered_0.95_and_restricted_to_phenos_with_less_thn_10_zeros_05042023.csv
avg_neg_mae,-0.24087256027554535
solver,['saga']
penalty,['elasticnet']
l1_ratio,"[0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65 0.7
 0.75 0.8  0.85 0.9 ]"
C,"[0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65 0.7
 0.75 0.8  0.85 0.9 ]"
fit_intercept,[True]
max_iter,[100]
n_jobs,[15]
f_kir2dl1_h_params,"{'C': 0.3, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 100, 'n_jobs': 15, 'penalty': 'elasticnet', 'solver': 'saga'}"
f_kir2dl2_s_h_params,"{'C': 0.7, 'fit_intercept': True, 'l1_ratio': 0.1, 'max_iter': 100, 'n_jobs': 15, 'penalty': 'elasticnet', 'solver': 'saga'}"
f_kir2dl2_w_h_params,"{'C': 0.05, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 100, 'n_jobs': 15, 'penalty': 'elasticnet', 'solver': 'saga'}"
f_kir2dl3_h_params,"{'C': 0.15, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 100, 'n_jobs': 15, 'penalty': 'elasticnet', 'solver': 'saga'}"
f_kir3dl1_h_params,"{'C': 0.55, 'fit_intercept': True, 'l1_ratio': 0.9, 'max_iter': 100, 'n_jobs': 15, 'penalty': 'elasticnet', 'solver': 'saga'}"
coef_counts,"{'f_kir2dl1': [478, 492, 486, 480, 466], 'f_kir2dl2_s': [8028, 7959, 8510, 8292, 8146], 'f_kir2dl2_w': [1095, 1074, 1098, 1098, 1073], 'f_kir2dl3': [4577, 4385, 4119, 4341, 4367], 'f_kir3dl1': [446, 421, 429, 459, 424]}"
run_time,18933.272811174393
run_id,41cf50ade6c04a559280eb2d22e2bfcf
