,phenotype_id,cluster_rep,marker_definition,parent_population
0,MFI:469,MFI:469,CD158a/h FITC,Lymphs/nonT/NK/16+56/CD158a
1,P1:22213,P1:22213,28+31+95+127-244-,DPT
2,P1:20054,P1:22213,31+127-244-RA-,DPT
3,P1:20057,P1:22213,28+31+127-244-RA-,DPT
4,P1:20102,P1:22213,31+57-95+127-244-RA-,DPT
5,P1:20104,P1:22213,28+31+57-95+127-244-RA-,DPT
6,P1:20127,P1:22213,31+95+127-244-RA-,DPT
7,P1:20130,P1:22213,28+31+95+127-244-RA-,DPT
8,P1:22183,P1:22213,31+57-95+127-244-,DPT
9,P1:22186,P1:22213,28+31+57-95+127-244-,DPT
10,P1:22210,P1:22213,31+95+127-244-,DPT
11,P2:16111,P2:16111,25-73-127+PD1-,DNT
12,P2:15859,P2:16111,25-39-73-127+DR-PD1-,DNT
13,P2:15860,P2:16111,39-73-127+DR-PD1-,DNT
14,P2:15868,P2:16111,25-73-127+DR-PD1-,DNT
15,P2:15869,P2:16111,73-127+DR-PD1-,DNT
16,P2:16102,P2:16111,25-39-73-127+PD1-,DNT
17,P2:16103,P2:16111,39-73-127+PD1-,DNT
18,P2:16112,P2:16111,73-127+PD1-,DNT
19,P2:16588,P2:16111,25-39-73-127+DR-,DNT
20,P2:16597,P2:16111,25-73-127+DR-,DNT
21,P2:16831,P2:16111,25-39-73-127+,DNT
22,P2:16840,P2:16111,25-73-127+,DNT
23,P4:3799,P4:3799,CD2-314+158a+158b+,16+56
24,P4:3052,P4:3799,CD2-337-158a+158b+R7-,16+56
25,P4:3055,P4:3799,CD2-314+337-158a+158b+R7-,16+56
26,P4:3075,P4:3799,CD2-158a+158b+R7-,16+56
27,P4:3078,P4:3799,CD2-314+158a+158b+R7-,16+56
28,P4:3769,P4:3799,CD2-337-158a+158b+,16+56
29,P4:3772,P4:3799,CD2-314+337-158a+158b+,16+56
30,P4:3796,P4:3799,CD2-158a+158b+,16+56
31,P4:5290,P4:5290,CD2+158b-,56+16-
32,P4:4513,P4:5290,CD2+337-158a-158b-R7-,56+16-
33,P4:4536,P4:5290,CD2+158a-158b-R7-,56+16-
34,P4:4582,P4:5290,CD2+337-158b-R7-,56+16-
35,P4:4609,P4:5290,CD2+158b-R7-,56+16-
36,P4:5182,P4:5290,CD2+337-158a-158b-,56+16-
37,P4:5209,P4:5290,CD2+158a-158b-,56+16-
38,P4:5263,P4:5290,CD2+337-158b-,56+16-
39,P7 Mono:1287,P7 Mono:1287,11c+DR-,Monocytes
