,phenotype_id,marker_definition,parent_population,run_id,feature_name,beta_0,beta_1,p_1,measurement_id,minimum,maximum,mean,std_dev,q1,q3,iqr,outliers_count,valids_count,nans_count,label,correlates
0,MFI:469,CD158a/h FITC,Lymphs/nonT/NK/16+56/CD158a,553d73cc719b48679948520a062c6739,MFI:469,2.63288,-0.000615976,2.60536e-06,MFI:469,362.0,2204.0,1012.93,355.173,757.5,1223.5,466.0,6.0,423.0,1.0,MFI:469,[]
1,P1:22213,28+31+95+127-244-,DPT,553d73cc719b48679948520a062c6739,P1:22213,2.21779,-0.147494,0.000126926,P1:22213,0.0,6.24,1.391,1.218,0.534,1.879,1.345,24.0,424.0,0.0,P1:22213,"['P1:20054' 'P1:20057' 'P1:20102' 'P1:20104' 'P1:20127' 'P1:20130'
 'P1:22183' 'P1:22186' 'P1:22210']"
2,P2:16111,25-73-127+PD1-,DNT,553d73cc719b48679948520a062c6739,P2:16111,2.59798,-0.014966,0.00103598,P2:16111,7.378,69.235,37.742,11.092,31.027,45.237,14.21,7.0,363.0,61.0,P2:16111,"['P2:15859' 'P2:15860' 'P2:15868' 'P2:15869' 'P2:16102' 'P2:16103'
 'P2:16112' 'P2:16588' 'P2:16597' 'P2:16831' 'P2:16840']"
3,P4:3799,CD2-314+158a+158b+,16+56,553d73cc719b48679948520a062c6739,P4:3799,2.23086,-0.100496,0.000229341,P4:3799,0.0,9.912,2.109,1.664,0.888,2.974,2.087,18.0,424.0,0.0,P4:3799,['P4:3052' 'P4:3055' 'P4:3075' 'P4:3078' 'P4:3769' 'P4:3772' 'P4:3796']
4,P4:5290,CD2+158b-,56+16-,553d73cc719b48679948520a062c6739,P4:5290,1.6246,0.00599226,0.0172827,P4:5290,4.017,93.16,65.619,18.361,57.817,78.867,21.05,26.0,424.0,0.0,P4:5290,['P4:4513' 'P4:4536' 'P4:4582' 'P4:4609' 'P4:5182' 'P4:5209' 'P4:5263']
5,P7 Mono:1287,11c+DR-,Monocytes,553d73cc719b48679948520a062c6739,P7 Mono:1287,0.812136,0.0146073,0.00472986,P7 Mono:1287,43.965,96.739,82.367,9.058,78.375,88.443,10.069,21.0,424.0,0.0,P7 Mono:1287,['P7 Mono:1044']
6,P7:31,32+64-274-,11c+ (nodim)/1c-/16+,553d73cc719b48679948520a062c6739,P7:31,1.92227,0.00742505,0.0289988,P7:31,0.0,51.2,12.019,13.635,1.812,19.75,17.938,5.0,424.0,0.0,P7:31,['P7:103']
7,P1:20365,28+31+95+244-RA-,DPT,553d73cc719b48679948520a062c6739,P1:20365,2.27359,-0.0337463,0.00028784,P1:20365,0.0,25.428,7.581,4.99,3.969,10.422,6.454,6.0,424.0,0.0,P1:20365,"['P1:20254' 'P1:20255' 'P1:20257' 'P1:20258' 'P1:20281' 'P1:20282'
 'P1:20284' 'P1:20285' 'P1:20335' 'P1:20336' 'P1:20338' 'P1:20339'
 'P1:20362' 'P1:20363' 'P1:20366' 'P1:20481' 'P1:20484' 'P1:20508'
 'P1:20511' 'P1:20556' 'P1:20558' 'P1:20581' 'P1:20584']"
8,MFI:8,CD32 APC,Lin-DR+/14-/11c+ (nodim)/1c-/16-/CD32,553d73cc719b48679948520a062c6739,MFI:8,1.89685,4.10625e-05,0.0647098,MFI:8,1141.0,12166.0,2843.19,2134.72,1580.0,3344.0,1764.0,43.0,424.0,0.0,MFI:8,[]
9,P1:10321,27+95+127-,CD8,553d73cc719b48679948520a062c6739,P1:10321,2.2939,-0.031386,0.000603889,P1:10321,0.828,31.812,8.845,5.108,5.179,11.294,6.115,14.0,424.0,0.0,P1:10321,['P1:10240']
10,P4:5530,CD2+314-,56+16-,553d73cc719b48679948520a062c6739,P4:5530,1.81345,0.0127646,0.00270285,P4:5530,0.551,50.58,15.583,11.054,6.593,22.394,15.801,3.0,424.0,0.0,P4:5530,"['P4:4510' 'P4:4533' 'P4:4579' 'P4:4606' 'P4:4725' 'P4:4752' 'P4:4806'
 'P4:4833' 'P4:5179' 'P4:5206' 'P4:5260' 'P4:5287' 'P4:5422' 'P4:5449'
 'P4:5503']"
11,P5 gd:1927,28-R5+,Vg9+/Vd2Low,553d73cc719b48679948520a062c6739,P5 gd:1927,1.81071,0.00803734,0.00758032,P5 gd:1927,0.0,82.416,25.346,15.932,13.38,36.096,22.716,1.0,424.0,0.0,P5 gd:1927,['P5 gd:1689' 'P5 gd:1692' 'P5 gd:1924']
12,MFI:353,CD3 BV785,Lymphs/CD3 T/NKT/4-8/RA,553d73cc719b48679948520a062c6739,MFI:353,1.65707,2.91175e-05,0.0140127,MFI:353,828.0,27166.0,11706.5,5369.74,8002.5,15127.5,7125.0,2.0,231.0,193.0,MFI:353,[]
13,P1:12687,27+95+RA+,CD8,553d73cc719b48679948520a062c6739,P1:12687,2.37364,-0.023268,0.00027981,P1:12687,2.428,47.67,15.481,7.121,10.217,19.763,9.546,7.0,424.0,0.0,P1:12687,['P1:12660']
14,P4:3231,CD2+158b-,16+56,553d73cc719b48679948520a062c6739,P4:3231,1.58243,0.0100348,0.00815405,P4:3231,7.302,77.858,43.792,12.554,35.646,52.928,17.283,3.0,424.0,0.0,P4:3231,['P4:2523' 'P4:2550' 'P4:3204']
