,phenotype_id,marker_definition,parent_population,run_id,feature_name,beta_0,beta_1,p_1,measurement_id,minimum,maximum,mean,std_dev,q1,q3,iqr,outliers_count,valids_count,nans_count,label,correlates
0,MFI:469,CD158a/h FITC,Lymphs/nonT/NK/16+56/CD158a,553d73cc719b48679948520a062c6739,MFI:469,2.63288,-0.000615976,2.60536e-06,MFI:469,362.0,2204.0,1012.93,355.173,757.5,1223.5,466.0,6.0,423.0,1.0,MFI:469,[]
1,P1:22213,28+31+95+127-244-,DPT,553d73cc719b48679948520a062c6739,P1:22213,2.21779,-0.147494,0.000126926,P1:22213,0.0,6.24,1.391,1.218,0.534,1.879,1.345,24.0,424.0,0.0,P1:22213,"['P1:20027' 'P1:20030' 'P1:20054' 'P1:20057' 'P1:20102' 'P1:20104'
 'P1:20127' 'P1:20130' 'P1:22183' 'P1:22186' 'P1:22210']"
2,P4:6227,CD2+314-R7+,56+16-,553d73cc719b48679948520a062c6739,P4:6227,1.86749,0.106201,0.000443925,P4:6227,0.0,14.121,1.418,1.803,0.23,2.029,1.798,26.0,424.0,0.0,P4:6227,['P4:5904' 'P4:5927' 'P4:5973' 'P4:6000' 'P4:6119' 'P4:6146' 'P4:6200']
3,P5 gd:524,8-,CD3 T/VD1,553d73cc719b48679948520a062c6739,P5 gd:524,1.53968,0.00665216,0.00684586,P5 gd:524,11.065,96.787,71.555,18.51,62.047,85.317,23.27,13.0,424.0,0.0,P5 gd:524,[]
4,P4:3799,CD2-314+158a+158b+,16+56,553d73cc719b48679948520a062c6739,P4:3799,2.23086,-0.100496,0.000229341,P4:3799,0.0,9.912,2.109,1.664,0.888,2.974,2.087,18.0,424.0,0.0,P4:3799,['P4:3052' 'P4:3055' 'P4:3075' 'P4:3078' 'P4:3769' 'P4:3772' 'P4:3796']
5,P7:107,32+64-,11c+ (nodim)/1c-/16+,553d73cc719b48679948520a062c6739,P7:107,1.91211,0.00387221,0.0422156,P7:107,0.0,81.4,25.753,24.453,6.192,44.75,38.557,0.0,424.0,0.0,P7:107,['P7:103' 'P7:110' 'P7:202' 'P7:205' 'P7:26' 'P7:31']
6,P4:5290,CD2+158b-,56+16-,553d73cc719b48679948520a062c6739,P4:5290,1.6246,0.00599226,0.0172827,P4:5290,4.017,93.16,65.619,18.361,57.817,78.867,21.05,26.0,424.0,0.0,P4:5290,['P4:4513' 'P4:4536' 'P4:4582' 'P4:4609' 'P4:5182' 'P4:5209' 'P4:5263']
7,P5 gd:1927,28-R5+,Vg9+/Vd2Low,553d73cc719b48679948520a062c6739,P5 gd:1927,1.81071,0.00803734,0.00758032,P5 gd:1927,0.0,82.416,25.346,15.932,13.38,36.096,22.716,1.0,424.0,0.0,P5 gd:1927,['P5 gd:1689' 'P5 gd:1692' 'P5 gd:1924']
8,P7 Mono:1287,11c+DR-,Monocytes,553d73cc719b48679948520a062c6739,P7 Mono:1287,0.812136,0.0146073,0.00472986,P7 Mono:1287,43.965,96.739,82.367,9.058,78.375,88.443,10.069,21.0,424.0,0.0,P7 Mono:1287,['P7 Mono:1044']
9,P1:10321,27+95+127-,CD8,553d73cc719b48679948520a062c6739,P1:10321,2.2939,-0.031386,0.000603889,P1:10321,0.828,31.812,8.845,5.108,5.179,11.294,6.115,14.0,424.0,0.0,P1:10321,['P1:10213' 'P1:10240' 'P1:10294' 'P1:10969' 'P1:11050']
10,MFI:8,CD32 APC,Lin-DR+/14-/11c+ (nodim)/1c-/16-/CD32,553d73cc719b48679948520a062c6739,MFI:8,1.89685,4.10625e-05,0.0647098,MFI:8,1141.0,12166.0,2843.19,2134.72,1580.0,3344.0,1764.0,43.0,424.0,0.0,MFI:8,[]
11,P5 gd:1625,27-R7-,Vg9+/Vd2Low,553d73cc719b48679948520a062c6739,P5 gd:1625,0.0622116,0.0239165,0.002109,P5 gd:1625,55.74,93.098,81.786,5.927,79.426,85.897,6.471,13.0,424.0,0.0,P5 gd:1625,[]
12,MFI:457,CD2 Cy55 PE,Lymphs/nonT/NK/16+56/2,553d73cc719b48679948520a062c6739,MFI:457,1.71052,0.000102358,0.0105628,MFI:457,1105.0,7557.0,2970.15,1165.84,2145.0,3670.25,1525.25,8.0,424.0,0.0,MFI:457,[]
13,P4:82,2-314+334+337-158a+158b+R7-,16+56,553d73cc719b48679948520a062c6739,P4:82,2.17644,-0.16145,0.000804553,P4:82,0.0,5.1,0.991,0.973,0.32,1.34,1.02,24.0,424.0,0.0,P4:82,"['P4:2841' 'P4:2868' 'P4:3059' 'P4:3084' 'P4:3087' 'P4:3538' 'P4:3565'
 'P4:3778' 'P4:3781' 'P4:3805' 'P4:3808']"
14,MFI:160,CD20 BV605,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgM+/20+,553d73cc719b48679948520a062c6739,MFI:160,1.59159,0.000166033,0.00459609,MFI:160,0.0,6207.0,2524.29,794.25,2022.0,2916.5,894.5,18.0,424.0,0.0,MFI:160,[]
15,P1:13393,27+31+95+244+RA+,CD8,553d73cc719b48679948520a062c6739,P1:13393,2.2129,-0.0374867,0.00228309,P1:13393,0.247,24.581,5.263,3.735,2.545,6.928,4.383,14.0,424.0,0.0,P1:13393,['P1:13285' 'P1:13312' 'P1:13366']
16,P1:773,27+28+31+57-95-127-244-RA-,CD8,553d73cc719b48679948520a062c6739,P1:773,1.9143,4.87206,0.0408021,P1:773,0.0,0.108,0.02,0.02,0.005,0.029,0.024,17.0,424.0,0.0,P1:773,['P1:7347' 'P1:7348' 'P1:7372' 'P1:7374' 'P1:7375']
