,label,forward_selected,backward_selected
0,MFI:469,True,True
1,P1:22213,True,True
2,P4:6227,True,True
3,P5 gd:524,False,True
4,P4:3799,True,False
5,P7:107,True,True
6,P4:5290,True,True
7,P2:7234,False,False
8,P5 gd:1927,True,False
9,P1:12687,False,False
10,P7 Mono:1287,True,True
11,P1:10321,True,False
12,P4:5530,False,False
13,MFI:8,True,True
14,P1:22700,False,False
15,P5 gd:1625,True,True
16,MFI:457,True,True
17,P1:12696,False,False
18,P4:82,False,True
19,MFI:160,True,True
20,P1:6061,False,False
21,MFI:131,False,False
22,P5 gd:515,False,False
23,P7 Mono:930,False,False
24,P3:5906,False,False
25,P1:13393,False,True
26,P5 gd:1328,False,False
27,P1:773,True,True
