,feature,importance_mean,importance_std
0,MFI:469,0.002734539969834132,0.0009706792196826963
1,P4:3799,0.001607843137254933,0.0010998195501902806
2,P4:3796,0.0015877325289090332,0.0007809152758341518
3,P7 Mono:2007,0.0008436400201106503,0.00030461763571530643
4,P6 earlyB:19,0.0006279537456008455,0.000213381633706042
5,P2:12652,0.0006234288587230241,0.00017822299784994264
6,P4:5251,0.0005590749120161443,0.0002149319796894146
7,P4:4725,0.0005294117647059559,0.00020019969197240974
8,P6:16,0.0005062845651081116,0.00014856775718090953
9,P4:3087,0.0004434389140271805,0.0001972839403640172
10,P1:10941,0.0003986928104575571,0.00017950971096747316
11,P7:14,0.000397184514831625,0.0002951193232031786
12,P1:22210,0.0003901458019105464,0.00023782654421264553
13,P1:10610,0.0003851181498240791,0.00073483293302354
14,P4:3198,0.00037154348919059553,0.0002031874445890151
15,P4:4727,0.00036098541980899846,0.0002394957310082503
16,P4:4503,0.00032780291603824453,0.00011998721069716485
17,P7:125,0.0003273001508296125,0.00015245396435261153
18,P2:7854,0.0003187531422826018,0.00015400052061600875
19,P7 Mono:2569,0.0002941176470588558,0.0001752372970942123
20,P5 gd:351,0.00027853192559079145,0.0001634752498845379
21,P2:20154,0.00027199597787836983,0.00025247074697705955
22,P7 Mono:6227,0.0002689793866264806,0.0001126070613789364
23,P4:5362,0.0002639517345399911,0.0001142339644796623
24,P4:4757,0.00025490196078435114,0.000134211945899165
25,P7:221,0.00025490196078434556,0.00017192879467861833
26,P7 Mono:270,0.00024836601307192394,0.00020342056793560358
27,P1:22822,0.00024685771744600014,6.249070200681288e-05
28,P1:3316,0.00023629964806438642,8.279613413871908e-05
29,P2:10057,0.00023026646556064122,7.755632055615401e-05
30,P1:20789,0.00022724987430876032,0.00015687241336180023
31,P7 Mono:5520,0.0002212166918049624,8.737127801398648e-05
32,P2:24902,0.0002176973353444467,8.116349779823317e-05
33,P2:5909,0.00021367521367527398,0.00013216606276423602
34,P7 Mono:5558,0.00021065862242337363,7.182507360410157e-05
35,P7 Mono:4033,0.0002096530920060652,8.609037624630208e-05
36,P2:7248,0.00020864756158875953,9.095049027212684e-05
37,P4:5550,0.00020563097033688972,9.716384802168794e-05
38,P4:4734,0.00020462543991958682,8.679218773969544e-05
39,P1:9956,0.00020261437908501435,7.805176858337964e-05
40,P7 Mono:4135,0.00019658119658124974,0.00014031473516758978
41,P2:11834,0.00019658119658123307,7.400901969062835e-05
42,P1:1702,0.00019306184012070904,8.957690277052295e-05
43,P2:9564,0.00019105077928612823,0.00015119780755219682
44,P1:10805,0.00018954248366016835,0.00013934942947851326
45,P1:6582,0.00018753142282557366,0.00013315307290638775
46,MFI:636,0.00018602312719964432,8.573584212083493e-05
47,P1:3274,0.00018451483157368165,9.265213936845404e-05
48,P3:8576,0.00018350930115637598,6.586991769031159e-05
49,P7 Mono:6399,0.0001820010055304633,0.00011255205196933129
50,P4:4730,0.00017998994469583252,0.0002600496847572567
51,P1:22430,0.00017848164906993647,0.00023683656895555528
52,P1:23429,0.0001754650578180611,0.00028175897111768454
53,P4:3381,0.00017546505781801668,0.00014346790864841567
54,P7 Mono:59,0.00017395676219209843,0.00010811673278379749
56,P2:4506,0.00017295123177479555,0.00013699221820447476
55,MFI:270,0.00017295123177479555,8.864080000564808e-05
57,P2:4055,0.00017295123177477889,0.00011440974401112069
58,P4:3768,0.00017043740573155773,0.00011847457054896484
59,P3:8135,0.00016842634489698527,9.521396140021451e-05
60,P1:4730,0.00016842634489698527,6.129819320313109e-05
61,P5 gd:1616,0.00016742081447968792,0.00010539018940449753
62,P2:13574,0.00016742081447967128,0.00015186588841956973
63,P1:11945,0.00016641528406239337,0.00016259538780162732
64,P4:5093,0.0001654097536450766,0.0001437495326098597
65,P4:5532,0.00016440422322777925,7.863254292466638e-05
66,P5 gd:457,0.00016088486676726633,0.0001412224424855445
67,P2:22601,0.00016088486676726078,5.224889313933246e-05
68,P2:11059,0.00015887380593269384,0.00011876757302351398
69,P4:2744,0.00015887380593266888,0.00014709985547810986
70,P2:3755,0.00015736551030673672,0.00014025347179665154
71,P1:358,0.00015535444947211986,0.0001901815318396613
72,P1:24484,0.00015032679738566368,0.000103975200103801
73,P5 gd:768,0.0001498240321770289,9.704280234445495e-05
74,P1:24069,0.00014982403217701223,5.219080652533789e-05
75,P4:4589,0.00014932126696837745,6.383534440952157e-05
76,P2:13168,0.00014831573655107734,9.30659007235243e-05
77,P1:4703,0.000147812971342412,5.3359473751321954e-05
78,P7 Mono:2866,0.0001468074409251313,4.341283689275177e-05
79,MFI:478,0.0001463046757164771,0.00020070913564835193
80,P1:11542,0.00014580191050783675,7.817958579155128e-05
81,P5 gd:1993,0.00014479638009051165,0.00011484196307910534
82,P2:8947,0.00014379084967325317,4.802394745605344e-05
83,P1:6383,0.0001432880844645823,6.268455975266453e-05
84,P5 CD8:174,0.00014278531925595027,8.063701955491241e-05
85,MFI:70,0.00014278531925594474,0.00013556399836180404
86,P2:40,0.0001407742584213667,0.00017326079840211678
87,P1:23425,0.00013775766716948024,8.726127139123822e-05
88,P5 gd:407,0.00013725490196080103,0.00019409667458767375
89,P4:6063,0.00013675213675216902,5.8537072208470166e-05
90,P5 gd:1779,0.0001352438411262341,0.00019394554850170212
91,P5 CD8:2,0.0001347410759175882,6.646396327665591e-05
92,P1:10017,0.0001337355455002992,9.311884889120785e-05
93,P2:11983,0.00013323278029165608,0.0001897530746371123
94,P1:25306,0.00013172448466569896,0.00010873685238554386
95,P2:8825,0.00013122171945705862,0.00012084053567417012
96,MFI:465,0.00012921065862247228,5.931990319296275e-05
97,P7 Mono:1551,0.00012921065862245285,7.254642385745389e-05
98,P2:9416,0.00012870789341379863,7.389793474779414e-05
99,P2:25526,0.00012368024132733968,9.819250369619995e-05
100,P1:7538,0.00012217194570139644,8.857946823544993e-05
101,P2:5997,0.00012066365007544488,4.895188112474e-05
102,P1:20711,0.00012066365007543378,0.0001523303912271695
103,P1:6579,0.00011915535444950442,9.849708091496904e-05
104,P5 gd:1558,0.00011764705882356952,7.420514721968029e-05
105,P2:20155,0.00011714429361494028,9.97719790512069e-05
106,P4:4545,0.00011714429361490419,4.1583880305186864e-05
107,MFI:471,0.0001166415284062694,6.994763314003106e-05
108,P4:5057,0.00011563599798898316,8.751581289858942e-05
109,P5 gd:1206,0.00011463046757168027,8.727865007593571e-05
110,P5 gd:990,0.00011463046757167472,7.176698192078424e-05
111,P7 Mono:3647,0.00011463046757166917,3.4599598861901636e-05
112,P1:1251,0.00011412770236302606,5.589745308135002e-05
113,P1:23185,0.00011312217194573149,0.00015281498686848797
114,P3:6509,0.00011211664152843692,5.776551271480924e-05
115,P2:2396,0.00011060834590249368,5.215204617351802e-05
116,P2:6040,0.0001096028154852241,0.00010636306642610126
117,P2:20958,0.00010960281548520467,0.00018587087650730286
118,P7:227,0.0001096028154851908,6.193610294392919e-05
119,P1:5503,0.00010910005027655323,5.205744690952377e-05
120,P4:3357,0.00010859728506790734,8.50906907915107e-05
121,P5 gd:2115,0.00010809451985927254,6.540780206765468e-05
122,P7 Mono:2963,0.00010809451985926145,6.879805019308672e-05
123,P4:5445,0.0001075917546506433,0.00011015492786384156
124,P2:22521,0.0001075917546506211,8.954867979405551e-05
125,P6:10,0.00010759175465061,0.00010406632596931495
126,P1:10944,0.0001065862242333293,7.073818938949279e-05
127,P3:5951,0.00010608345902468897,3.955263834130179e-05
128,P1:10923,0.00010608345902464456,6.746989214583461e-05
129,P5 gd:1992,0.00010507792860736942,0.00016095476736896955
130,P7 Mono:2006,0.0001045751633987263,0.00011530325703538736
131,P4:4810,0.00010407239819008595,7.585092585628918e-05
132,P2:6673,0.00010356963298142064,4.3202717061714765e-05
133,P1:7782,0.00010256410256413717,0.00015678215304742427
134,P2:12465,0.00010206133735549128,4.602704963363767e-05
135,P1:13527,0.00010105580693819393,7.566407597727649e-05
136,P2:2966,0.00010055304172955637,8.199852403368611e-05
137,P1:7436,0.00010055304172954804,8.233691742959921e-05
138,P2:3534,0.00010055304172954804,0.00013550431797224315
139,P3:4765,0.00010005027652092436,7.566407597727213e-05
140,P1:1162,9.95475113122618e-05,6.213982727191804e-05
141,P1:2681,9.904474610362147e-05,7.54164571625508e-05
142,P3:7366,9.854198089496724e-05,0.00014049026874444183
143,P2:6559,9.854198089496446e-05,4.738812133915973e-05
144,P1:4404,9.803921568632968e-05,0.0003192479898306777
145,P1:6131,9.703368526903511e-05,0.00026827176529775225
146,P2:21013,9.653092006036424e-05,4.0584084606558646e-05
147,P2:22441,9.653092006033648e-05,9.528163443774673e-05
148,P2:8765,9.552538964307799e-05,9.790376224946944e-05
149,P2:1599,9.50226244344321e-05,2.952648941182306e-05
150,P1:21466,9.502262443442656e-05,6.1017140064778435e-05
151,P2:7238,9.5022624434421e-05,3.037051445056209e-05
152,MFI:41,9.502262443441822e-05,5.4310279370527275e-05
153,P2:4418,9.301156359983186e-05,4.0612102617908843e-05
154,P1:11343,9.301156359982632e-05,5.549808319658572e-05
155,P1:13626,9.250879839118875e-05,0.00010839692520107103
156,P2:8764,9.25087983911832e-05,5.2451689716416877e-05
157,P2:9849,9.250879839118043e-05,5.0935847730182966e-05
158,P1:21044,9.200603318253731e-05,3.8817251175364495e-05
159,P1:9841,9.150326797390252e-05,0.00021181636073676748
160,P1:13539,9.049773755659685e-05,4.1275768228811823e-05
161,P3:1559,8.999497234796205e-05,5.8608278655439196e-05
162,P2:3173,8.949220713930784e-05,5.0266464554852183e-05
163,P1:3974,8.898944193067582e-05,4.695137983791754e-05
164,P1:7412,8.898944193065917e-05,9.163714867253624e-05
165,P4:5449,8.898944193064529e-05,0.00011467125486071551
166,P5 gd:37,8.798391151333962e-05,0.00010860775883796707
167,P5 gd:1845,8.748114630471593e-05,0.00010130937274257543
168,P1:20807,8.647561588742136e-05,7.347256012924043e-05
169,P4:3766,8.647561588741582e-05,8.625903871802126e-05
170,P1:6765,8.59728506787727e-05,7.200082279903797e-05
171,P6:18,8.547008547012403e-05,0.00011233174494735351
172,P2:13028,8.547008547010459e-05,3.907362338406153e-05
173,Lin:35,8.496732026146703e-05,0.00012662199422482136
174,P2:6904,8.446455505284334e-05,0.00010109957055224673
175,P7 Mono:5050,8.396178984418912e-05,6.0250070299007136e-05
176,P5 gd:658,8.34590246355571e-05,3.259842147298641e-05
177,P7 Mono:3113,8.345902463553767e-05,4.1226747109102124e-05
178,P5 gd:879,8.2453494218232e-05,0.0001385334842015682
179,P3:2508,8.245349421820147e-05,0.00013621504560935364
180,P1:403,8.195072900958055e-05,7.046070994230244e-05
181,P2:24607,8.144796380092356e-05,8.242283210185253e-05
182,P1:10468,8.094519859229432e-05,3.5009935361591264e-05
183,P3:1914,8.094519859227766e-05,4.8716366201128014e-05
184,P5 gd:490,8.044243338362899e-05,9.387045182709345e-05
185,P3:566,7.993966817501085e-05,0.00010008564068756335
186,P7 Mono:5159,7.993966817499698e-05,1.6893210272917404e-05
187,P2:8664,7.893413775771906e-05,7.202188388257349e-05
188,P2:20975,7.893413775771352e-05,0.00015745543621560254
189,P2:9408,7.84313725490704e-05,2.828026367104255e-05
190,P2:13191,7.792860734040508e-05,5.924315227975082e-05
191,P2:22064,7.742584213175086e-05,0.00011327736407845103
192,P1:22831,7.692307692311607e-05,7.524868587188778e-05
193,P1:23712,7.642031171447017e-05,2.842291407762467e-05
194,P1:23148,7.642031171446739e-05,7.130763459623862e-05
195,P7:93,7.642031171445629e-05,3.6449610780074164e-05
196,P3:844,7.591754650582428e-05,3.558285023472321e-05
197,P7 Mono:5721,7.59175465058215e-05,8.796092495820953e-05
198,P7 Mono:5543,7.591754650581594e-05,5.1735981307746425e-05
199,P2:3478,7.591754650580762e-05,3.4058400310580086e-05
200,P6:80,7.541478129717005e-05,0.00018050601378599544
201,P7 Mono:987,7.54147812971645e-05,5.249022880297528e-05
202,P1:6694,7.54147812971645e-05,6.327655192580157e-05
203,P3:4620,7.541478129716173e-05,0.00014262944777473146
204,P7:111,7.491201608852971e-05,5.4217114743417905e-05
205,P2:2844,7.491201608852139e-05,5.25118946095372e-05
206,P3:1861,7.491201608851305e-05,7.004333189681279e-05
207,P2:8426,7.440925087987826e-05,4.4562131334665614e-05
208,P3:2406,7.39064856712407e-05,0.00010651149471507535
209,P1:7416,7.390648567122404e-05,4.580684959232395e-05
210,P1:8511,7.340372046259203e-05,2.941928373721372e-05
211,P1:10835,7.340372046258093e-05,9.32815778245041e-05
212,MFI:145,7.290095525394891e-05,0.00019098792329512207
213,P4:6208,7.23981900452586e-05,0.00020238657198515226
214,P1:10077,7.189542483663769e-05,0.00010837010481392994
215,P4:5774,7.139265962798347e-05,5.272087171007937e-05
216,P2:25250,7.038712921068613e-05,3.7690628082438035e-05
217,P3:939,6.938159879340821e-05,8.412270115325955e-05
218,P7 Mono:1528,6.938159879340544e-05,8.942439287809126e-05
