,feature,importance_mean,importance_std
0,P4:3799,0.003900269018645422,0.0008471803396063157
1,MFI:469,0.0033946133096355744,0.0005190144671168696
2,P4:3796,0.0030968048073150845,0.0007309620515639268
3,P1:10610,0.0030353785165129154,0.0002854977379055146
4,P1:20127,0.00134290151125665,0.0002194316832968809
5,P5 gd:1992,0.0011300457842553374,0.00012129733872653096
6,P7 Mono:2007,0.0009866668278849771,0.00011500442181182544
7,P7:14,0.0008825223040553442,0.00010675331169117284
8,P1:22210,0.0008683680748930416,0.00012564477598104424
9,P4:4754,0.0008386425056847585,0.0002071411416887067
10,P2:8981,0.0008295256379767385,0.00015190283346494483
11,P1:5420,0.0007755028295505312,0.0001345271147899224
12,P1:22452,0.0007630301126311884,0.0001322849963836288
13,P5 gd:596,0.0007421612780228598,0.00012720219840017588
14,P2:25708,0.0007245684938933184,0.00015679732007359775
15,P4:3087,0.0007082445600841397,0.00015375583779801775
16,P1:9841,0.0006818514211965942,8.480101000750053e-05
17,P2:7298,0.0006470990324115855,0.00012408980014770173
18,P1:20254,0.0006395015502194789,9.549665539205379e-05
19,P4:5093,0.000586819699263752,8.728966892613021e-05
20,P7 Mono:5169,0.0005745233082486339,0.00013200538802213394
21,P2:11059,0.0005690943444048551,7.177674093901481e-05
22,P1:22430,0.0005686284969008803,7.980843129824158e-05
23,P2:23514,0.0005676743209157648,0.0001450203037530972
24,P2:20958,0.0005632914879326989,8.358577554866906e-05
25,P5 gd:1783,0.0005602384324889048,6.324137639195296e-05
26,P2:12652,0.000539738128138123,0.00015611111655183905
27,P1:20381,0.0005143889117916273,0.00013078461340971457
28,P1:20789,0.0004942574593158388,7.662378706774984e-05
29,P4:4727,0.00046200790211561036,5.95281498122056e-05
30,P1:4404,0.00045834866748664107,5.456647581070829e-05
31,P1:22904,0.0004414653008287084,8.313167882698547e-05
32,P2:20154,0.0004360240587046926,0.00010996887956739463
33,P3:8135,0.00041723659357054685,6.959190334370537e-05
34,P2:5207,0.00040768225460344475,0.00015102614193817032
35,P4:4730,0.000406784347010844,9.937647290530993e-05
36,P1:11706,0.0004044380032929201,7.755452358588443e-05
37,MFI:478,0.0004037601499766591,5.791557636910446e-05
38,P6 earlyB:19,0.0004036719912123288,4.866823655597188e-05
39,P7:125,0.00040300227603433657,6.293285695185679e-05
40,P3:1909,0.0003909017234808243,8.497627613971089e-05
41,P4:5251,0.0003884015595699175,9.81700052237632e-05
42,P7 Mono:4153,0.0003874802211593309,7.047559716529336e-05
43,P1:23429,0.0003864287065543315,6.52132209776235e-05
44,P7:214,0.00038628304877561523,6.77235778178347e-05
45,P1:21650,0.0003692464253489874,6.654876109717473e-05
46,P2:6672,0.00035233716019719973,5.3106019805976286e-05
47,P1:3699,0.00035134937258285426,5.0935938094091386e-05
48,P1:10609,0.00034989388495595963,5.223594720184846e-05
49,P1:23185,0.00034613363622323923,6.558903644265048e-05
50,P4:5362,0.0003355994093256598,5.169047604782641e-05
51,P3:99,0.00033530010341860925,8.285661115386595e-05
52,P5 gd:1779,0.00033197398468453877,9.161342128843275e-05
53,P5 gd:512,0.0003311384539018608,5.471921638276439e-05
54,P1:23402,0.000324728726001694,6.293948425473875e-05
55,P6 earlyB:234,0.0003228262779456953,8.08880619945886e-05
56,P5 gd:1713,0.00032221235817647134,7.659648538452657e-05
57,P2:10405,0.00031739673884408624,5.93572229962147e-05
58,P5 gd:1993,0.00031400851496846127,7.2054982503859e-05
59,P1:1881,0.0003000056828396214,5.500615178007206e-05
60,P5 gd:1328,0.0002921181064742845,0.0001120915424506138
61,P1:20711,0.0002912872567904207,5.130723048601112e-05
62,P5 gd:2093,0.00029075720624950895,6.894232345551596e-05
63,P3:6942,0.00028951078606073987,4.8089419668006394e-05
