,max_depth,n_estimators,neg_mae
0,40,160,-0.21980781014328818
1,40,170,-0.21915694829968194
2,40,180,-0.22026094711388838
3,40,190,-0.219942404087141
4,40,200,-0.2193373303167422
5,40,210,-0.22007498640481843
6,40,220,-0.22007498873675355
7,41,160,-0.22133962575414792
8,41,170,-0.21925344753285936
9,41,180,-0.21979550025138272
10,41,190,-0.22038289445332798
11,41,200,-0.2207507918552037
12,41,210,-0.22008381301238455
13,41,220,-0.22034992458521882
14,42,160,-0.22030861479207076
15,42,170,-0.2204543360330558
16,42,180,-0.21977456067897258
17,42,190,-0.21967754794225391
18,42,200,-0.21974704804998932
19,42,210,-0.2194836319143043
20,42,220,-0.22011536747566168
21,43,160,-0.21984571280435258
22,43,170,-0.22047824061751403
23,43,180,-0.21949295230912885
24,43,190,-0.22023101305299458
25,43,200,-0.22043436759319124
26,43,210,-0.22007573542237413
27,43,220,-0.22012733345086294
28,44,160,-0.22031294777526406
29,44,170,-0.21932575699963247
30,44,180,-0.21997178529531478
31,44,190,-0.22005098436135598
32,44,200,-0.2206671029950443
33,44,210,-0.21868315018315027
34,44,220,-0.2201509446435918
35,45,160,-0.2205540697048051
36,45,170,-0.21952930402930412
37,45,180,-0.22024807572601696
38,45,190,-0.22025163304188083
39,45,200,-0.21960985240249956
40,45,210,-0.22047420763177078
41,45,220,-0.220529972478502
42,46,160,-0.22032339137578116
43,46,170,-0.2205939737886106
44,46,180,-0.21980850032320629
45,46,190,-0.2204700608988536
46,46,200,-0.22031181049342824
47,46,210,-0.22001442628333398
48,46,220,-0.21994478560655045
49,47,160,-0.22129282818896795
50,47,170,-0.2201274604864571
51,47,180,-0.21968731595202193
52,47,190,-0.22047845575477165
53,47,200,-0.2197615573152339
54,47,210,-0.2197746637116386
55,47,220,-0.2197038696597521
56,48,160,-0.21990532751562175
57,48,170,-0.22042773489486298
58,48,180,-0.2203102061337356
59,48,190,-0.22000052450129853
60,48,200,-0.22110040400775705
61,48,210,-0.2193841562265933
62,48,220,-0.21937574435368568
63,49,160,-0.2204702481954321
64,49,170,-0.22018539361445946
65,49,180,-0.21966914158825931
66,49,190,-0.22031598226335078
67,49,200,-0.2203085110967465
68,49,210,-0.22055471162824108
69,49,220,-0.21931580919080926
70,50,160,-0.21955590120663654
71,50,170,-0.21965420738431124
72,50,180,-0.2207086954439897
73,50,190,-0.22055534764513102
74,50,200,-0.22033562809739293
75,50,210,-0.21946136146766407
76,50,220,-0.22032351716910553
