,max_depth,n_estimators,neg_mae
0,5,20,-0.2268406360095993
1,5,40,-0.22162607847947635
2,5,60,-0.221097351022803
3,5,80,-0.22128057832003423
4,5,100,-0.22013161616891344
5,5,120,-0.2200046175308637
6,5,140,-0.21910239379434165
7,5,160,-0.21981192949442555
8,5,180,-0.22051068960701775
9,5,200,-0.21952174413234693
10,5,220,-0.22007056309136203
11,5,240,-0.21977977898158838
12,5,260,-0.2193053717565024
13,5,280,-0.2195025261217137
14,5,300,-0.21991228358146553
15,15,20,-0.2220882304824058
16,15,40,-0.22126526659614892
17,15,60,-0.2210576563958917
18,15,80,-0.2203061948891983
19,15,100,-0.2196000374039857
20,15,120,-0.21875745644317934
21,15,140,-0.2192635046963214
22,15,160,-0.21874850358697664
23,15,180,-0.21974730923835634
24,15,200,-0.220557396284469
25,15,220,-0.21944140096172382
26,15,240,-0.2192254325752785
27,15,260,-0.21973593273582934
28,15,280,-0.21942405386838856
29,15,300,-0.21957408451468519
30,25,20,-0.22492983731954325
31,25,40,-0.22074508457229047
32,25,60,-0.2207715470803706
33,25,80,-0.22104588181426416
34,25,100,-0.2188657724628313
35,25,120,-0.221468191122603
36,25,140,-0.22008404900421716
37,25,160,-0.2207170060331826
38,25,180,-0.21960034355622599
39,25,200,-0.21997666181857362
40,25,220,-0.21881066482537084
41,25,240,-0.21894776628600168
42,25,260,-0.21986032312333234
43,25,280,-0.21915334210607326
44,25,300,-0.21960993499964093
45,35,20,-0.2249081555699203
46,35,40,-0.22103865007541476
47,35,60,-0.2210186741363212
48,35,80,-0.21965668094160745
49,35,100,-0.21964435466494292
50,35,120,-0.2189886159592042
51,35,140,-0.22003127789577376
52,35,160,-0.22015604799612162
53,35,180,-0.2197777209174269
54,35,200,-0.21968336834733906
55,35,220,-0.21969270680300107
56,35,240,-0.21881267955900321
57,35,260,-0.21986108763031856
58,35,280,-0.21959895304275565
59,35,300,-0.21981996875673349
60,45,20,-0.22446746390864045
61,45,40,-0.22182142857142856
62,45,60,-0.22055991883933063
63,45,80,-0.22039156431803492
64,45,100,-0.2210191876750701
65,45,120,-0.21963945898872375
66,45,140,-0.2192259249853788
67,45,160,-0.2202737994236157
68,45,180,-0.2195655958964783
69,45,200,-0.2197279761904763
70,45,220,-0.21901687038451753
71,45,240,-0.2190105872477197
72,45,260,-0.21924341363764452
73,45,280,-0.21877589689722052
74,45,300,-0.21875088163470524
75,55,20,-0.2241268315018315
76,55,40,-0.22250534636931696
77,55,60,-0.2208824337427279
78,55,80,-0.2205116354234001
79,55,100,-0.2205232654600302
80,55,120,-0.22039288407670768
81,55,140,-0.21919982608427993
82,55,160,-0.22040355324822247
83,55,180,-0.22021311858076573
84,55,200,-0.21971123680241336
85,55,220,-0.21887790885585012
86,55,240,-0.2198350615887382
87,55,260,-0.2187750381217577
88,55,280,-0.2193072267368487
89,55,300,-0.2196117952309129
