,max_depth,n_estimators,neg_mae
0,10,160,-0.22062138688932417
1,11,160,-0.22077903447595554
2,12,160,-0.22077494020552274
3,13,160,-0.22082220481002954
4,14,160,-0.22045760277308454
5,15,160,-0.2206488246753122
6,16,160,-0.22069904119620162
7,17,160,-0.2207708333333334
8,18,160,-0.22067730315407313
9,19,160,-0.22077253517131842
10,20,160,-0.22078797935103253
11,21,160,-0.2208974500794192
12,22,160,-0.220506523712276
13,23,160,-0.22057208702064907
14,24,160,-0.2207782363285683
15,25,160,-0.22050636771046073
16,26,160,-0.2205780718175631
17,27,160,-0.22064057181756302
18,28,160,-0.22079040447016116
19,29,160,-0.2207743504651691
20,30,160,-0.22045037724075342
21,31,160,-0.22055281370546864
22,32,160,-0.22064042999773098
23,33,160,-0.2206965622872703
24,34,160,-0.22061331404583626
25,35,160,-0.22049675232584534
26,36,160,-0.22067979918311784
27,37,160,-0.22070553948264135
28,38,160,-0.22064455695484464
29,39,160,-0.22049195881552086
30,40,160,-0.22073669729975046
31,41,160,-0.22052107442704794
32,42,160,-0.2207218062173815
33,43,160,-0.22077802359882015
34,44,160,-0.2205992455184934
35,45,160,-0.2207682947583391
36,46,160,-0.2207835829362379
37,47,160,-0.2206383594281825
38,48,160,-0.2205049353301567
39,49,160,-0.2205590537780804
40,50,160,-0.22069790957567514
41,51,160,-0.2207574455411846
42,52,160,-0.22071752325845254
43,53,160,-0.22048939187656008
44,54,160,-0.2205894599500795
45,55,160,-0.22075909065123672
46,56,160,-0.22066078114363522
47,57,160,-0.2204043283412753
48,58,160,-0.22060925799863862
49,59,160,-0.22063264408894948
50,60,160,-0.22049730542319043
51,61,160,-0.22071081518039493
52,62,160,-0.22060249319264813
53,63,160,-0.220587318470615
54,64,160,-0.22053148400272302
55,65,160,-0.22054742455184942
56,66,160,-0.2208879765146359
57,67,160,-0.22055696902654878
58,68,160,-0.2207228273201725
59,69,160,-0.22076687656001823
60,70,160,-0.2204062996369413
