,feature,importance_mean,importance_std
0,MFI:469,0.002250710155857227,0.0007481828701353662
1,P1:22213,0.0014314479638008859,0.0005456245389708385
2,P5 gd:596,0.0012790661136249275,0.0005599466864102575
3,P2:8332,0.0012441616390145805,0.0013243161124762443
4,P1:9862,0.0011422322775263948,0.000990330800833363
5,P2:154,0.0010074409250879679,0.0007028946857151553
6,P5 gd:1759,0.000841157616892908,0.0007277211488502952
7,P1:22214,0.0008267973856208999,0.0003813058255502732
8,P3:7720,0.0007808949220713857,0.00038215442402576627
9,P1:22834,0.0007351809954751071,0.0003006705718133555
10,P2:5231,0.0006445261437908334,0.0002944366575142083
11,P1:20790,0.0006278846153846107,0.000924422754251933
12,P5 gd:1667,0.0006180932629461783,0.0005074031205931765
13,P6 earlyB:172,0.0005667923579688211,0.00028979824193074564
14,P1:20030,0.0005602501256912735,0.00031278118541706846
15,P5 CD8:94,0.0005377702362996356,0.0003160294405364341
16,P2:20911,0.0005075100553041656,0.0005121552044918464
17,P1:9378,0.0004904851684263278,0.00043632492210352215
18,P2:9702,0.0004695827048768114,0.00042473608285735097
19,P5 gd:1993,0.0004645047762694804,0.000514655728312477
20,P5 gd:1966,0.00044974233283055776,0.000510893630271183
21,P1:12687,0.0004204248366012903,0.0002834435636040377
22,P1:44,0.0003775012569129993,0.00024564343831408526
23,P5 gd:1407,0.0003726935646053159,0.00022827265902910496
24,P1:12696,0.0003666289592760197,0.00046940847840653334
25,P1:22483,0.00032513826043239434,0.00043883167866348146
26,P1:22240,0.00031086601307188155,0.00010273428867826992
27,P1:7770,0.00030114379084967,0.0004298814655908589
28,P2:9216,0.00027377450980391735,0.00014921819216530768
29,P1:9627,0.0002443627450980351,0.0004469220771467214
30,P7 Mono:4045,0.00023889517345400068,0.0002841032161054337
31,P5 gd:2009,0.00022176973353443596,0.00022696487897183633
32,P5 gd:524,0.00021972724987430635,0.0007068053679518747
33,P3:7665,0.0002014705882352813,0.00022961538556486656
34,P2:5911,0.0001791729512317697,0.00039463595703207263
35,P3:30,0.00016182755153343608,0.0001732740079220182
36,P6 earlyB:171,0.00015604575163397915,0.00026798257398541264
37,P4:3793,0.00014618526897936746,0.000444776522966387
38,P1:11936,0.00013872549019607882,0.0003715496931270618
39,P1:10294,0.00012620663650072473,0.0004810014315196555
40,P5 gd:1832,0.00011684891905478944,0.00023459963370258563
41,P1:22232,0.00010718954248364943,0.00017223950689019383
42,P1:3554,9.158496732024735e-05,0.00043297731588423367
43,P2:20191,7.713046757162278e-05,0.0001990732417846327
44,P7 Mono:4162,7.686023127199238e-05,0.00039067330625025635
45,P2:22794,7.46794871794726e-05,0.00036479144347351697
46,P1:10564,6.225490196076988e-05,0.00027741416994084815
47,P1:9847,5.547385620913725e-05,0.0004041633636676659
48,P1:22903,4.9145299145286204e-05,0.0002565994244358748
49,P5 gd:1658,4.157239819003567e-05,0.0002922591867276924
50,P1:23185,3.3496732026128684e-05,0.00037056665710483996
51,P1:6019,3.0461287078928922e-05,0.00032330873221337155
52,P2:20950,1.4925842131713329e-05,0.0005914899009361071
53,P1:10222,8.1699346402897e-07,0.0002148071432804451
54,P1:22913,-7.252388134757482e-06,0.0002797558034520515
55,P1:9464,-3.186274509805298e-05,9.292559943188253e-05
56,MFI:74,-3.541980894924579e-05,0.0004352509221843578
57,P1:22700,-5.6875314228278516e-05,0.0004038637034992058
58,P1:4428,-6.102941176472143e-05,0.00025499805723805705
59,P5 gd:297,-6.639643036702281e-05,0.0006103254466393105
60,P2:9726,-7.726244343893074e-05,0.0008790877632913374
61,P6:171,-9.59150326797531e-05,0.0002916463441044245
62,P7 Mono:6260,-9.962292609352996e-05,0.0004804520059712253
63,P1:4004,-0.00011776646556060366,0.00023921137145832102
64,MFI:6,-0.00012050653594771809,0.0003371998049861366
65,P1:10573,-0.0001214303670186162,0.0005797257987955433
66,P1:8026,-0.000126596279537477,0.00024672726897347427
67,P7 Mono:1780,-0.000134873051784844,0.00042096825393088465
68,P4:65,-0.0001418300653594845,0.0002845132554305736
69,P1:22471,-0.00014501633986929664,0.000512761688882499
70,P2:22065,-0.00018527526395174131,0.00039870537091998414
71,P1:12345,-0.0001953242835595992,0.0005439791156635881
72,P1:9834,-0.0002053104575163467,0.0003269370718619483
73,P1:9598,-0.00020981020613374923,0.0004261968831181225
74,P7 Mono:1890,-0.0002397373051785001,0.00020970401990350922
75,P1:21497,-0.00024064856711916604,0.0005408085706141917
76,P2:9806,-0.0002733220211161552,0.0004730966586926253
77,P4:3556,-0.0002754084967320447,0.0004391961804263649
78,P5 gd:1894,-0.00028283056812470063,0.00043752378072041154
79,P1:12372,-0.0002932001005530477,0.0006577770830849101
80,P1:9908,-0.00029983660130720845,0.0007876536310633054
81,MFI:311,-0.00036874685771745905,0.00030642690890809435
82,P1:6129,-0.00038265460030167286,0.00027776548250761207
83,P2:21039,-0.00039110734037206053,0.0003986806582474192
84,P7 Mono:5197,-0.0004352752639517421,0.0004363097211851252
85,P4:5858,-0.0004415032679738545,0.0004696133863796086
86,P1:6461,-0.00044250879839115406,0.0003521174730505117
87,P1:7771,-0.0004498051784816404,0.0005137117661675109
88,P4:5806,-0.00047238562091503675,0.0002643624214110807
89,P1:23183,-0.0004972222222222344,0.0004107939129490625
90,P7:57,-0.0006184326294620468,0.0006199838156257837
91,MFI:488,-0.000649912016088492,0.0008978527846708884
92,P4:5281,-0.0006858660130719152,0.0006574222018792682
93,P4:3799,-0.0007076106083459143,0.0008226798528697648
94,P6:80,-0.0007428544494720974,0.0004109696122322786
95,P1:6130,-0.0008132604323780879,0.0005539994273058451
96,P1:6102,-0.0008490824534942243,0.000432225641082591
97,P6 earlyB:4,-0.0011306686777275037,0.0008050366165298879
98,P1:495,-0.0015489316239316276,0.0006886832174423482
99,P4:3706,-0.0026879650578180174,0.0012388661127418767
