,max_depth,n_estimators,neg_mae
0,1,300,-0.22160801843949376
1,21,300,-0.22085939036381522
2,41,300,-0.22035322592844725
3,61,300,-0.22121745707586424
4,81,300,-0.22008713410483327
5,101,300,-0.22036396641706385
6,121,300,-0.2207131079343469
7,141,300,-0.22070705695484466
8,161,300,-0.21972967249073455
9,181,300,-0.22024143408214206
10,201,300,-0.220402541411391
11,221,300,-0.22040042356856523
12,241,300,-0.22145949625595648
13,261,300,-0.22034354436124354
14,281,300,-0.22094622191967328
15,301,300,-0.22028031162544445
