,phenotype_id,marker_definition,parent_population,run_id,feature_name,beta_0,beta_1,p_1,measurement_id,minimum,maximum,mean,std_dev,q1,q3,iqr,outliers_count,valids_count,nans_count,label,correlates
0,P4:3799,CD2-314+158a+158b+,16+56,553d73cc719b48679948520a062c6739,P4:3799,2.23086,-0.100496,0.000229341,P4:3799,0.0,9.912,2.109,1.664,0.888,2.974,2.087,18.0,424.0,0.0,P4:3799,['P4:3052' 'P4:3055' 'P4:3075' 'P4:3078' 'P4:3769' 'P4:3772' 'P4:3796']
1,MFI:469,CD158a/h FITC,Lymphs/nonT/NK/16+56/CD158a,553d73cc719b48679948520a062c6739,MFI:469,2.63288,-0.000615976,2.60536e-06,MFI:469,362.0,2204.0,1012.93,355.173,757.5,1223.5,466.0,6.0,423.0,1.0,MFI:469,[]
2,P1:22213,28+31+95+127-244-,DPT,553d73cc719b48679948520a062c6739,P1:22213,2.21779,-0.147494,0.000126926,P1:22213,0.0,6.24,1.391,1.218,0.534,1.879,1.345,24.0,424.0,0.0,P1:22213,"['P1:20054' 'P1:20057' 'P1:20102' 'P1:20104' 'P1:20127' 'P1:20130'
 'P1:22183' 'P1:22186' 'P1:22210']"
3,P1:9862,27+57+95+244-,CD8,553d73cc719b48679948520a062c6739,P1:9862,2.08686,-0.366298,0.00820258,P1:9862,0.0,4.262,0.193,0.314,0.052,0.222,0.17,34.0,424.0,0.0,P1:9862,['P1:12017' 'P1:9781']
4,P1:22913,27+31+57-95+127-,DPT,553d73cc719b48679948520a062c6739,P1:22913,2.10012,-0.0301591,0.0637323,P1:22913,0.0,24.269,2.803,2.823,1.163,3.579,2.416,26.0,424.0,0.0,P1:22913,[]
5,P1:9908,27-28+31-95-127+244-,CD8,553d73cc719b48679948520a062c6739,P1:9908,1.97223,0.145141,0.165519,P1:9908,0.0,5.021,0.282,0.436,0.055,0.309,0.254,43.0,424.0,0.0,P1:9908,"['P1:10367' 'P1:10394' 'P1:10610' 'P1:10637' 'P1:11790' 'P1:11793'
 'P1:11820' 'P1:12031' 'P1:12052' 'P1:12055' 'P1:12490' 'P1:12517'
 'P1:12733' 'P1:12760' 'P1:187' 'P1:9638' 'P1:9665' 'P1:9878' 'P1:9881'
 'P1:9905']"
6,P1:22232,27+28+57+95+127-244-,DPT,553d73cc719b48679948520a062c6739,P1:22232,2.05146,-0.502789,0.00224083,P1:22232,0.0,4.0,0.07,0.262,0.0,0.0,0.0,79.0,424.0,0.0,P1:22232,['P1:20142' 'P1:20145']
7,P5 gd:524,8-,CD3 T/VD1,553d73cc719b48679948520a062c6739,P5 gd:524,1.53968,0.00665216,0.00684586,P5 gd:524,11.065,96.787,71.555,18.51,62.047,85.317,23.27,13.0,424.0,0.0,P5 gd:524,[]
8,P2:5231,25+127+DR+PD1+,CD4,553d73cc719b48679948520a062c6739,P2:5231,1.94199,11.7492,0.17722,P2:5231,0.0,0.042,0.006,0.006,0.002,0.008,0.006,25.0,424.0,0.0,P2:5231,['P2:5204']
9,P2:5911,25-39+127+DR+PD1-RO+,CD4,553d73cc719b48679948520a062c6739,P2:5911,1.96347,0.627488,0.161998,P2:5911,0.0,1.084,0.078,0.098,0.025,0.099,0.074,26.0,424.0,0.0,P2:5911,"['P2:371' 'P2:3750' 'P2:3751' 'P2:3753' 'P2:3754' 'P2:3777' 'P2:3778'
 'P2:3780' 'P2:3781' 'P2:5885' 'P2:5886' 'P2:5887' 'P2:5908' 'P2:5909'
 'P2:5912' 'P2:6602' 'P2:6603' 'P2:6629' 'P2:6630']"
