,max_depth,n_estimators,neg_mae
0,5,20,-0.2247163904710853
1,5,40,-0.22227583505002566
2,5,60,-0.22015502619696875
3,5,80,-0.22050603854803663
4,5,100,-0.22089673972895035
5,5,120,-0.21984624366506375
6,5,140,-0.21959590169590223
7,5,160,-0.22055203689214603
8,5,180,-0.21984469245204813
9,5,200,-0.2199345578824766
10,5,220,-0.21938268110961387
11,5,240,-0.21967701908618847
12,5,260,-0.2192605996939411
13,5,280,-0.21981504191168014
14,5,300,-0.218783287860212
15,15,20,-0.2211816784899364
16,15,40,-0.22261395611631568
17,15,60,-0.2217200854700855
18,15,80,-0.22101791447931157
19,15,100,-0.2189421631557758
20,15,120,-0.21983922446028545
21,15,140,-0.21898630727037202
22,15,160,-0.2196475267881688
23,15,180,-0.2199017354622302
24,15,200,-0.21951041963186224
25,15,220,-0.21951789214949297
26,15,240,-0.2203449479654654
27,15,260,-0.2191345950881273
28,15,280,-0.21900204382667
29,15,300,-0.21907205943901195
30,25,20,-0.22479934281404873
31,25,40,-0.2207382164404223
32,25,60,-0.22027228327228326
33,25,80,-0.2201499676793795
34,25,100,-0.21919957983193283
35,25,120,-0.2207169880772822
36,25,140,-0.2204620886816266
37,25,160,-0.219870111506141
38,25,180,-0.21977870250664377
39,25,200,-0.2191740896358544
40,25,220,-0.22028350326144452
41,25,240,-0.2196750161603104
42,25,260,-0.21927786203238706
43,25,280,-0.21960348177732641
44,25,300,-0.2191031871723049
45,35,20,-0.2235033936651584
46,35,40,-0.22077457713854773
47,35,60,-0.2203159609997845
48,35,80,-0.22198900425554835
49,35,100,-0.22147423507864689
50,35,120,-0.219071684443008
51,35,140,-0.22031422569027614
52,35,160,-0.22041913784744677
53,35,180,-0.2202888535756184
54,35,200,-0.219729761904762
55,35,220,-0.21994165638283297
56,35,240,-0.21917251804567991
57,35,260,-0.2189948266288765
58,35,280,-0.21951652006956643
59,35,300,-0.21849799612152565
60,45,20,-0.22554115492350787
61,45,40,-0.22075296272355094
62,45,60,-0.22079433311786256
63,45,80,-0.22146536980176687
64,45,100,-0.22033503555268266
65,45,120,-0.22004103821015591
66,45,140,-0.22063316095669042
67,45,160,-0.22046300972312008
68,45,180,-0.21885156755009705
69,45,200,-0.21973031135531146
70,45,220,-0.21912209359268192
71,45,240,-0.21950905650721836
72,45,260,-0.2195089047453302
73,45,280,-0.21989607766183408
74,45,300,-0.21989113876319766
75,55,20,-0.22698976513682395
76,55,40,-0.2203710676578324
77,55,60,-0.2218757092580622
78,55,80,-0.2206825037707391
79,55,100,-0.22116968325791858
80,55,120,-0.22012714124111188
81,55,140,-0.22002770723674087
82,55,160,-0.21896480755763853
83,55,180,-0.21885713088654274
84,55,200,-0.21984850786468443
85,55,220,-0.21914610879316773
86,55,240,-0.21975153074050144
87,55,260,-0.21877259335686952
88,55,280,-0.2193890421553238
89,55,300,-0.2194473263664441
