,max_depth,n_estimators,neg_mae
0,10,160,-0.21985095135313457
1,11,160,-0.22011678118403907
2,12,160,-0.21944493961971945
3,13,160,-0.2196893934018597
4,14,160,-0.2197995150630339
5,15,160,-0.2199706489737755
6,16,160,-0.2202247514543467
7,17,160,-0.21959704030650726
8,18,160,-0.22007071549773763
9,19,160,-0.21954989125457883
10,20,160,-0.22007372872225822
11,21,160,-0.21966358375080808
12,22,160,-0.21988543787707399
13,23,160,-0.2199312863606982
14,24,160,-0.21985145106119375
15,25,160,-0.21973941095669045
16,26,160,-0.21989837353210526
17,27,160,-0.21985510901475983
18,28,160,-0.2194441021600949
19,29,160,-0.2197354038730878
20,30,160,-0.2197723938132946
21,31,160,-0.21984436745852193
22,32,160,-0.21992326815341529
23,33,160,-0.2198310022085758
24,34,160,-0.21981911899375145
25,35,160,-0.21959050447101927
26,36,160,-0.21997060742566266
27,37,160,-0.21987428928302097
28,38,160,-0.22012572014382684
29,39,160,-0.21976312856873526
30,40,160,-0.21968700643719033
31,41,160,-0.2197535731119371
32,42,160,-0.22007276785714297
33,43,160,-0.21991837864953684
34,44,160,-0.21989200906324075
35,45,160,-0.21994985758726573
36,46,160,-0.21994485395119592
37,47,160,-0.21976600712400354
38,48,160,-0.22005533290239182
39,49,160,-0.21963770671730237
40,50,160,-0.21987502154708047
41,51,160,-0.2199342699579833
42,52,160,-0.21997186355311363
43,53,160,-0.2201056857358329
44,54,160,-0.2199005359836243
45,55,160,-0.21980303342490848
46,56,160,-0.21975470534367603
47,57,160,-0.21990772260827413
48,58,160,-0.21978647281027805
49,59,160,-0.21992131309254478
50,60,160,-0.21990186584249094
51,61,160,-0.21980035620017246
52,62,160,-0.2198527994370826
53,63,160,-0.2196607223658695
54,64,160,-0.2199512116865978
55,65,160,-0.21980728526987725
56,66,160,-0.219851747670222
57,67,160,-0.21963905610321055
58,68,160,-0.2199822004282483
59,69,160,-0.2195538875646413
60,70,160,-0.21994942698233147
