,feature,importance_mean,importance_std
0,MFI:469,0.0024234539969833933,0.0016620330082007173
1,P4:3799,0.001639140271493303,0.001129494722450755
2,P1:495,0.0014890648567119275,0.0020015141563176644
3,P1:9908,0.001424208144796399,0.0007550090293732069
4,P4:5806,0.0012662141779788583,0.0004937992646415422
5,P5 gd:1993,0.0011278280542986407,0.0012655292970614133
6,P7 Mono:5197,0.0010037707390647549,0.0004272125883048636
7,P1:4428,0.0009969834087481116,0.0004526495440579899
8,P2:5911,0.0009332579185520967,0.00036098500404707667
9,P7 Mono:1780,0.0008597285067873633,0.0006634272215983261
10,P5 gd:2009,0.0008273001508295492,0.0006967081010312829
11,P1:6019,0.0008084464555053017,0.000582688880514044
12,MFI:488,0.0007130467571643901,0.0014126644514786196
13,P5 gd:1658,0.0007039969834087584,0.0003139558648443166
14,P1:3554,0.0006915535444947691,0.0002620552424476433
15,P1:6461,0.0006881598793363642,0.0005346457241348491
16,P1:22913,0.0006757164404223581,0.0008778581808205935
17,P5 gd:297,0.0006564856711915618,0.00029852943796029906
18,P5 gd:1667,0.0006402714932126491,0.00043253450758082924
19,P2:22794,0.0005769230769230415,0.0005000119433747373
20,P1:21497,0.0005437405731523959,0.00042417982141076407
21,P2:8332,0.0004800150829562283,0.0007631384337600611
22,P1:22834,0.0004596530920060515,0.00042799615914530456
23,P1:12345,0.0003755656108597155,0.0005868588141506858
24,P2:5231,0.00036349924585218907,0.0003868645971646695
25,P1:9464,0.000343137254901954,0.00020715741718808857
26,P7 Mono:1890,0.00033408748114631127,0.0003427234672132513
27,P1:9627,0.00032993966817498053,0.00029285925055242274
28,P1:10564,0.0003223981900452227,0.0012215358524494213
29,P5 CD8:94,0.0002843137254901956,0.0003408764799275745
30,MFI:6,0.00026206636500755997,0.00037344501928795017
31,P1:22213,0.00025716440422322016,0.0009613754926513858
32,P1:6130,0.000253016591251895,0.000613480704753013
33,P7 Mono:6260,0.00024321266968327094,0.0005461046972894659
34,P1:7771,0.00018325791855206553,0.00037851985208839204
35,P6 earlyB:4,0.00015686274509802423,0.0005290716443641831
36,P7:57,0.00014366515837109517,0.0004975674157306012
37,P1:22214,0.00011161387631976883,0.0003675540354913875
38,P2:20911,0.00010444947209652667,0.00042467311537784007
39,P3:30,8.710407239821971e-05,0.0003333574327740488
40,P1:9862,7.767722473607519e-05,0.0003473225275929089
41,P1:22232,7.013574660633958e-05,0.0005944488513574726
42,P1:6102,6.03318250377266e-05,0.0002150247213952236
43,P2:22065,-4.751131221713556e-05,0.0004182298707128688
44,P1:7770,-8.861236802413519e-05,0.0002832086115461226
45,P2:20950,-0.0001248114630467506,0.00041388031172084037
46,P1:11936,-0.00015648567119152802,0.00035182935351696116
47,P4:5858,-0.00017797888386121563,0.0002490161362723825
48,P5 gd:524,-0.0003691553544494908,0.00039289744000557626
49,P1:22471,-0.00037368024132728995,0.000358816880232732
50,P2:9702,-0.0004890648567118904,0.000686653654404183
51,MFI:74,-0.0004928355957767889,0.0005649846961355715
52,P1:22483,-0.0005644796380090134,0.0008140554066669295
53,P5 gd:1407,-0.0005938914027149606,0.0005006236598325642
54,P4:5281,-0.0008480392156862387,0.0009313304898265184
55,P4:3793,-0.0009389140271492818,0.001621275731262522
56,P3:7720,-0.0010071644042232235,0.0005536607127270606
57,P1:22903,-0.001169683257918505,0.0004045206971460433
58,P1:22240,-0.001254901960784302,0.0009133673429556565
59,MFI:311,-0.001957390648567084,0.0008212535507562384
