,feature,importance_mean,importance_std
0,MFI:469,0.004472266125870847,0.002799669065862998
1,P4:3799,0.003539014667279425,0.001446164305231056
2,P5 gd:1993,0.001685602401706579,0.0004602986950400023
3,P1:22213,0.0014224145356668133,0.0008447551063852195
4,P2:5231,0.0012815354540278213,0.0007335827893684717
5,P1:22834,0.001177959062166517,0.000548756955362257
6,P2:9702,0.0009270293729277457,0.00048551689854344854
7,MFI:311,0.0009244887414356806,0.0015430648302940581
8,P2:20950,0.0009063433818209843,0.00039706956871451385
9,P7 Mono:5197,0.0008165861908947831,0.00022908828699695483
10,P1:3554,0.0007922259728649877,0.00046703650214770416
11,P5 gd:1667,0.0007312587194344689,0.0010190986542146063
12,P1:11936,0.0006278911684406058,0.0003386290744863118
13,P5 gd:297,0.0006137003357132908,0.0005862094359430585
14,P1:10564,0.0005885340038021241,0.00046052226740634456
15,P1:4428,0.0005874643998272034,0.0005051926006890504
16,P1:6019,0.0005838810220467367,0.0006146024865340266
17,P4:5281,0.0005767295853658039,0.0003488637718979932
18,P1:22903,0.0005558054731637701,0.0010555060601714248
19,MFI:488,0.0005189262251107912,0.000644623525906531
20,P1:7771,0.0005144867778165863,0.0003209102418852689
21,P1:6102,0.00050300949433007,0.00147328801320693
22,P1:22913,0.0004687796391037169,0.0005821444934299548
23,P5 gd:1407,0.00044468668222163164,0.0009696248301928958
24,P4:3793,0.0004281223086441327,0.0005892381381331185
25,P3:30,0.0004091255917862996,0.00044721316600318203
26,P1:9627,0.0004020487499651032,0.0003001707049719374
27,P1:22214,0.00037736365299652076,0.00035910569200449524
28,P2:20911,0.0003710307782125444,0.0007089675594548347
29,P1:22232,0.00036137686014649505,0.00014778414585119604
30,P1:22471,0.00036120011667542805,0.0003828717439116338
31,P1:12345,0.00035710313571473416,0.00028808438978611764
32,P1:9862,0.0003399923843476316,0.0006995170921412109
33,P3:7720,0.00033220972083959356,0.0008174047747170078
34,P5 gd:524,0.00032847689637548194,0.0003114428201695396
35,P7:57,0.0003232299884553952,0.0006751842384706922
36,P1:21497,0.0003201495850344349,0.00032271711380921713
37,P1:7770,0.0003061331270857892,0.00039415352011532863
38,P7 Mono:1890,0.0002985181003396731,0.000392220756577329
39,P4:5806,0.0002649878116247062,0.00021543931351504072
40,P1:9908,0.00022625572565998232,0.0009363138532617778
41,P2:22794,0.00021180869929962874,0.0008166817852363477
42,P1:9464,0.0001769024570340033,0.00021421145211027696
43,P1:6130,0.00012404797790022958,0.0015012605517843146
44,P7 Mono:6260,0.00011447114450030827,0.0006074662634045599
45,MFI:74,6.272217042381234e-05,0.0006172938700486354
46,MFI:6,3.240949511068569e-05,0.0007733708172090652
47,P1:22240,1.4793517959160728e-06,0.00014670956282088264
48,P5 CD8:94,-7.414385209019159e-05,0.00020546134063272303
49,P5 gd:1658,-0.00010795117380766329,0.0003424236071439685
50,P2:22065,-0.00011725942462620376,0.0004538879646809318
51,P4:5858,-0.00013907113751786547,0.00047027492416502556
52,P7 Mono:1780,-0.00015677211423083536,0.0008179985716869617
53,P1:6461,-0.00022111416179368404,0.00028139248244592283
54,P1:22483,-0.0003067254519648371,0.0004673007659476763
55,P2:8332,-0.0003490717589125558,0.001176249980816372
56,P5 gd:2009,-0.000505149608132463,0.0004820740042420768
57,P2:5911,-0.0009469388403910595,0.0010827426737656546
58,P1:495,-0.001037224442847423,0.0009679576136821239
59,P6 earlyB:4,-0.002082879005039484,0.0015059998038894817
