,max_depth,n_estimators,max_features,neg_mae
0,1,300,0.3,-0.2142942858914726
1,11,300,0.3,-0.1947256618332024
2,21,300,0.3,-0.1948754508028847
3,31,300,0.3,-0.19455802132970304
4,41,300,0.3,-0.19487088722486978
5,51,300,0.3,-0.1947994100294988
6,61,300,0.3,-0.19469624082898446
7,71,300,0.3,-0.19485123666893606
8,81,300,0.3,-0.19468946373194185
9,91,300,0.3,-0.19487268739127173
10,101,300,0.3,-0.19470814613115525
11,111,300,0.3,-0.1946001966568341
12,121,300,0.3,-0.19471241207170437
13,131,300,0.3,-0.1946734437637095
14,141,300,0.3,-0.19489362378034972
15,151,300,0.3,-0.19495767339838163
16,161,300,0.3,-0.19476761213221416
17,171,300,0.3,-0.19499990923530772
18,181,300,0.3,-0.19495923152560346
19,191,300,0.3,-0.1949429392632935
20,201,300,0.3,-0.19475125936010917
