,label,forward_selected,backward_selected
0,P4:3799,True,True
1,P1:22213,True,True
2,MFI:469,True,True
3,P1:9862,True,False
4,P5 gd:1759,True,True
5,P1:22913,True,True
6,P2:154,False,False
7,P1:9908,True,False
8,P2:5911,False,False
9,P1:20790,True,False
10,P1:22232,True,True
11,P2:5231,True,True
12,P1:20030,False,False
13,P1:6130,False,True
14,P5 gd:1658,True,True
15,MFI:224,False,False
16,P1:12372,True,True
17,P5 gd:1966,True,False
18,P2:8332,True,True
19,P1:6102,False,False
20,P1:22834,True,True
21,MFI:311,True,False
22,P1:22240,True,True
23,P5 gd:524,False,False
24,P2:20950,True,True
25,P1:21497,False,True
26,P1:22700,False,False
27,P3:30,True,True
28,P7 Mono:3409,True,True
29,P6 earlyB:4,True,False
30,P1:9598,False,False
31,P1:11936,False,False
32,P1:495,True,True
33,P2:54,True,True
34,P6 earlyB:171,False,False
35,Lin:14,True,False
36,P1:22128,True,False
37,P1:7771,True,False
38,P5 gd:596,False,False
39,P1:22214,True,False
40,P4:3793,True,True
41,P7 Mono:1890,True,True
42,P1:44,False,False
43,P1:10573,True,True
44,P5 gd:1832,False,True
45,P1:22471,False,False
46,P7 Mono:4045,False,False
47,P4:5806,False,True
48,P1:9378,False,False
49,P2:20914,False,True
50,P1:23183,False,False
51,MFI:6,True,True
52,MFI:258,False,False
53,P1:9707,True,True
54,P1:7515,True,True
55,P1:7770,False,True
56,P1:10564,False,False
57,P1:10294,False,False
58,P2:7228,False,False
59,P2:9806,False,False
60,P1:23185,False,False
61,P1:4514,True,True
62,P6:92,False,False
63,P6:171,False,False
64,P5 gd:1993,True,True
65,P1:4428,True,True
66,P1:22903,True,True
67,P1:4833,True,True
68,P3:7720,False,True
69,P5 CD8:94,False,False
70,P2:20911,False,True
71,P4:3225,True,True
72,P2:21039,False,False
73,P4:3556,False,False
74,P4:5281,False,True
75,P4:5858,False,False
76,P1:4004,False,True
77,MFI:488,True,False
78,P5 gd:451,False,True
79,P7 Mono:5197,True,True
80,P7:57,True,True
81,P2:5045,False,False
82,P5 gd:1975,False,False
83,P1:5938,True,True
84,P1:13125,False,False
85,P1:6019,False,False
86,P4:65,False,False
87,P2:9216,False,True
88,P1:232,True,True
89,P5 gd:1867,False,True
90,P1:12687,False,False
91,P1:6461,True,True
92,P1:9464,True,True
93,P2:22794,True,True
94,P1:8026,False,False
95,P2:8413,True,False
96,P6:80,False,False
97,P5 gd:1727,True,True
98,P3:6995,False,False
99,P4:5521,True,False
