,label,forward_selected,backward_selected
0,P4:3799,True,True
1,P1:22213,True,False
2,P5 gd:1966,True,True
3,P5 CD8:74,True,False
4,MFI:469,True,True
5,P1:20790,True,True
6,P3:5417,False,True
7,MFI:146,False,False
8,P4:5572,True,True
9,P7 Mono:4045,True,False
10,P1:5949,False,True
11,MFI:149,True,True
12,P1:22240,True,True
13,P4:3706,False,False
14,P1:22834,True,True
15,P1:22913,False,True
16,P6 earlyB:25,False,False
17,P1:495,True,False
18,MFI:652,False,True
19,MFI:144,True,True
20,P1:7363,True,True
21,P7 Mono:6166,True,True
22,P4:3229,False,False
23,P1:9589,True,True
24,P1:6709,True,True
25,MFI:27,True,False
26,MFI:215,True,False
27,P1:22832,False,False
28,P1:20030,False,True
29,P3:5694,False,False
30,P7 Mono:4162,False,False
31,P1:9862,True,True
32,P4:3562,True,False
33,P2:23833,False,True
34,P6:153,False,True
35,P4:3634,False,False
36,P7 Mono:5853,False,True
37,P6 earlyB:135,True,False
38,MFI:224,True,False
39,P5 gd:1778,True,True
40,P7 Mono:6556,False,False
41,P5 gd:826,False,False
42,P4:5481,False,False
43,P7:132,True,True
44,P4:5281,False,False
45,P2:6633,False,False
46,P4:3718,True,False
47,P3:5903,True,False
48,P1:11384,False,True
49,P5 gd:1135,False,False
50,P1:6551,True,True
51,P3:5444,False,False
52,P1:6030,False,False
53,P5 gd:308,True,False
54,P4:3225,False,False
55,P5 gd:832,True,False
56,P3:5414,False,False
57,P3:4627,True,True
58,P7 Mono:4975,True,False
59,P5 gd:634,False,True
60,P2:9216,True,True
61,P1:6021,True,False
62,P2:7298,False,True
63,P7 Mono:6410,False,True
64,P1:9172,False,False
65,P7 Mono:5918,False,True
66,P7 Mono:4205,False,False
67,P6 earlyB:90,True,True
68,P2:21187,True,True
69,P4:5777,False,False
70,P7 Mono:4911,True,False
71,P6 earlyB:126,False,False
72,P7 Mono:1890,True,True
73,P7:23,True,False
74,P1:22915,True,True
75,P7 Mono:5467,True,False
76,P2:8128,False,False
77,P4:3333,True,True
78,P2:1844,False,True
79,MFI:656,False,True
80,P5 gd:1727,True,False
81,P1:20789,False,False
82,P6 earlyB:96,True,False
83,P1:9908,True,False
84,P5 gd:451,True,False
85,P2:11295,True,False
86,P6:295,False,False
87,P4:3472,False,False
88,P1:23356,False,False
89,P2:9262,True,False
90,P2:4840,True,True
91,P2:8981,True,True
92,P1:22700,False,True
93,P6:90,False,True
94,P2:9961,True,True
95,P1:1863,True,True
96,P7:57,True,False
97,P6:9,True,False
98,P2:10896,False,True
99,P6:76,False,True
100,P5 gd:1136,False,False
101,P1:11292,False,False
102,P7 Mono:5493,True,True
103,MFI:68,False,True
104,P5 gd:297,True,False
105,P1:20820,True,True
106,P7 Mono:61,True,True
107,P4:3477,False,False
108,P4:77,False,True
109,P5 gd:632,False,False
110,P1:4428,True,True
111,P2:10454,False,False
112,P5 gd:1413,False,False
113,MFI:22,False,True
114,P4:3231,False,True
115,P5 gd:224,False,True
116,P4:6239,False,False
117,P6 earlyB:192,False,False
118,P2:12680,False,False
119,P1:9841,True,True
120,P4:5571,True,True
121,P7:44,True,True
122,P1:22943,False,False
123,P5 gd:370,False,True
124,P5 gd:1881,True,True
125,P1:20126,True,False
126,P1:9910,False,False
127,P1:12345,True,True
128,P7 Mono:1780,True,True
129,MFI:488,True,False
130,P2:5243,False,True
131,P1:24822,False,True
132,P7 Mono:4124,True,True
133,P4:6235,True,False
134,P1:7608,False,False
135,P2:10861,False,False
136,P5 gd:1658,True,True
137,P2:7301,False,False
138,P2:25264,True,True
139,P7 Mono:3432,False,False
140,P5 gd:401,False,True
141,P1:6133,False,False
142,P6 earlyB:68,False,True
143,P5 gd:669,False,True
144,P4:5373,True,True
145,P7:125,False,False
146,P6 earlyB:16,True,True
147,P5 gd:56,True,True
148,P2:12608,True,True
149,P5 gd:562,False,False
