,feature,importance_mean,importance_std
0,MFI:469,0.0024223450967636563,0.0007659803658514173
1,P2:5154,0.000843768634466302,0.0002988554745999079
2,P2:12410,0.000721255488697331,0.00034967020483927846
3,P1:22832,0.000560253699788521,0.0001694944195377155
4,P1:10546,0.0005204098227353737,9.545311817094769e-05
5,P7 Mono:1998,0.00046457418550439054,0.00012291426201404954
6,P1:13566,0.0004540033609800653,0.00021831720501662948
7,P2:11586,0.00033094812164575214,0.00013081454580952687
8,P7:57,0.000328508700601704,0.0001500767213538165
9,P1:22934,0.0003000487884208758,0.0001455248636427919
10,P1:23401,0.000294356805984658,7.982040131278513e-05
11,P1:13633,0.000293814712419338,5.619499932726384e-05
12,P2:12239,0.00029110424459262706,8.793954031287936e-05
13,P5 gd:74,0.0002897490106792577,0.00010223495167001106
14,P1:5599,0.0002845991218084265,0.00012938900166475844
15,P4:4090,0.0002829728411123611,6.98354547197359e-05
16,P1:4357,0.0002829728411123389,0.0001160523445993526
17,P1:10795,0.000282159700764345,0.00012815927699838718
18,P7 Mono:4574,0.0002797202797202469,0.00010157421674825872
19,P5 gd:1280,0.0002794492329375897,7.050812014549057e-05
20,P1:23709,0.00025207350788743476,0.00012115518316597069
21,P5 gd:892,0.00025126036753942425,9.760732976293745e-05
22,P1:3856,0.00024882094649534837,7.89374603968801e-05
23,P1:25297,0.00021304277118228688,9.592299302690802e-05
24,P1:23416,0.00020409822735402704,4.6916154616203266e-05
25,P1:23159,0.00019677996422179378,9.488340963288193e-05
26,P7 Mono:4847,0.00019054588822029484,4.20087537911537e-05
27,P2:11702,0.00018295657830539325,8.827349151084288e-05
28,P2:2842,0.00018295657830539325,8.460177283575179e-05
29,P4:3622,0.0001780777362172581,8.375345584648284e-05
30,P7 Mono:382,0.00017319889412910073,8.000656436121264e-05
31,P1:5448,0.00017238575378109578,8.27487671700151e-05
32,P5 gd:630,0.00016913319238898717,4.5969406489212976e-05
33,P2:8381,0.00016506749064887916,4.852343063209623e-05
34,P4:5472,0.00016262806960479215,4.6852692440689976e-05
35,P5 CD8:179,0.00016018864856069405,6.81341743975057e-05
36,P7 Mono:364,0.00015937550821271685,6.736807668633363e-05
37,P5 gd:226,0.00015937550821270574,6.677659836607355e-05
38,P1:12818,0.000157749227516657,7.05326018611414e-05
39,P1:7998,0.00014961782403642986,5.6593633570682285e-05
40,P2:8646,0.00014880468368837495,4.098904914989785e-05
41,P1:23440,0.00014880468368836386,6.881012521723965e-05
42,P7:81,0.00014717840299233731,5.704939213878268e-05
43,P1:10809,0.0001333550170759368,6.247966405041082e-05
44,P1:21058,0.00013335501707591456,3.395773787252284e-05
45,P4:3775,0.0001325418767279374,5.345122273392054e-05
46,P4:3529,0.00013254187672789297,5.875466547244942e-05
47,P4:2708,0.0001301024556838115,3.8484825390142755e-05
48,P5 CD8:20,0.00013010245568380595,3.252561392095843e-05
49,P1:25284,0.00012766303463974116,5.3943757653672286e-05
50,P2:13396,0.00012522361359567635,5.9442728516805954e-05
51,MFI:670,0.00012359733289961649,4.738592383911282e-05
52,P6 earlyB:127,0.00011790535046348749,4.244717234066938e-05
53,P5 gd:1593,0.00011790535046348749,5.5894157931641415e-05
54,P1:23551,0.00011465278907137333,3.477541841005e-05
55,P1:5352,0.00011383964872334618,5.0780598458274336e-05
56,P7 Mono:4657,0.00010977394698325483,2.3637082214575853e-05
57,P2:1612,0.00010733452593914561,4.1270377428681546e-05
58,P2:1445,0.00010326882419902095,4.6291902187323676e-05
59,P7:138,9.838998211089689e-05,3.58980973404564e-05
60,P2:959,9.838998211088579e-05,3.7165050844113825e-05
61,P1:24887,9.757684176285864e-05,3.5630024882418875e-05
62,P1:3530,9.513742071879384e-05,3.507831291286962e-05
63,P2:7115,9.432428037077223e-05,3.6941996069605924e-05
64,MFI:503,9.432428037077223e-05,4.1334412187790736e-05
65,P7 Mono:3144,9.351114002275617e-05,2.7030037629835443e-05
66,P5 gd:1801,9.107171897867472e-05,1.3010245568390034e-05
67,P5 gd:391,9.107171897865807e-05,3.77563401081285e-05
68,P1:12202,9.025857863066422e-05,3.6446470696068646e-05
69,P4:5496,9.025857863066422e-05,2.5571938841277364e-05
70,P1:2095,8.944543828262597e-05,3.487983507810213e-05
71,P2:3577,8.619287689052846e-05,3.111258167133767e-05
72,P2:22578,8.53797365425124e-05,3.1545234576784447e-05
73,P2:11046,8.456659619448525e-05,3.8000720265228606e-05
74,P2:23030,8.45665961944797e-05,2.9810217563555548e-05
75,P3:6376,8.456659619446861e-05,2.9810217563538587e-05
76,P1:12277,8.45665961944575e-05,2.981021756353374e-05
77,P4:5215,8.21271751504149e-05,3.158712733704161e-05
78,P3:4330,8.13140348024044e-05,3.1492790260255654e-05
79,P1:10202,8.13140348023933e-05,2.4663767910402662e-05
80,P6:251,8.13140348023933e-05,3.916602562625203e-05
81,P5 gd:236,8.131403480238775e-05,2.998713435450839e-05
82,P2:20644,8.050089445436614e-05,3.5153628754618534e-05
83,P2:20590,7.724833306226309e-05,2.845991218083694e-05
84,P1:9202,7.562205236621988e-05,3.273836744054769e-05
85,P2:11316,7.480891201822049e-05,3.740445600907525e-05
86,P2:11943,7.480891201818717e-05,2.0826554683477884e-05
87,P1:4220,7.399577167019889e-05,2.6336208717992193e-05
88,P1:12954,7.318263132215508e-05,3.0641476144764614e-05
89,P2:25141,7.318263132212177e-05,2.439421044071836e-05
90,P2:10048,7.236949097413903e-05,1.4749030043264597e-05
91,P1:9956,7.236949097411683e-05,2.1651531884333028e-05
