,0
baseline,-0.221747093342146
avg_neg_mae_tt,-0.14539373450379484
avg_neg_mae_vv,-0.15830296602862054
avg_neg_mae_tv,-0.20556706959399312
data_source,Analysis/RandomForest/May/15052023_9/rf_fs_bs_candidate_features_100_16052023_9.csv
partition_training_dataset,True
fs_bs_filter,2
n_splits,4
n_repeats,5
random_state,336
impute,True
standardise,True
normalise,True
strategy=,median
max_depth,11
n_estimators,40
max_features,0.4
max_samples,0.5
bootstrap,True
min_samples_split,12
features,"['P4:3799', 'P2:54', 'P1:22213', 'P5 gd:1136', 'P5 gd:1966', 'P7:240', 'MFI:469', 'P7 Mono:6426', 'P1:24153', 'P7 Mono:4162', 'P5 gd:1778', 'MFI:149', 'P1:22132', 'P5 gd:1118', 'P7 Mono:5918', 'P2:21187', 'P5 gd:1509', 'P1:3284', 'P1:10573', 'P1:6708', 'P2:25560', 'P7:217', 'P2:22065', 'P1:20789', 'P4:3333', 'P1:387', 'P1:495', 'P2:9007', 'P5 gd:224', 'P3:7908', 'P1:22471', 'MFI:248', 'P7 Mono:3409']"
