,Trait ID
0,P4:3066
1,P4:3045
2,P4:3787
3,P4:3760
4,P4:3069
5,P4:77
6,P4:3790
7,P4:3763
8,P4:2844
9,P4:2817
10,P4:3541
11,P4:3514
12,P4:3063
13,P4:107
14,P4:3784
15,P4:3757
16,P4:2847
17,P4:2820
18,P4:3544
19,P4:3517
20,P4:80
21,P4:2609
22,P4:6316
23,P4:6289
24,P4:6318
25,P4:6291
26,P4:3052
27,P4:3075
28,P4:3769
29,P4:3796
30,P4:2618
31,P4:2595
32,P4:4878
33,P4:4905
34,P4:3307
35,P4:3280
36,P4:4887
37,P4:4914
38,P4:6083
39,P4:6058
40,P4:6315
41,P4:6288
42,P4:2853
43,P4:2826
44,P4:2850
45,P4:3550
46,P4:3547
47,P4:2823
48,P4:3523
49,P4:3520
50,P4:2829
51,P4:3526
52,P4:2856
53,P4:3761
54,P4:3553
55,P4:3046
56,P4:3788
57,P4:3067
58,P4:6081
59,P4:6057
60,P4:3055
61,P4:2612
62,P4:2591
63,P4:3078
64,P4:3772
65,P4:3301
66,P4:3274
67,P4:3799
68,P4:104
69,P4:6080
70,P4:4669
71,P4:4649
72,P4:4655
73,P4:4678
74,P4:2590
75,P4:2610
76,P4:3272
77,P4:3299
78,P4:3764
79,P4:3048
80,P4:3070
81,P4:3791
82,P4:2598
83,P4:2627
84,P4:3283
85,P4:2621
86,P4:116
87,P4:3310
88,P4:3072
89,P4:3049
90,P4:3793
91,P4:3766
92,P4:4913
93,P4:4886
94,P4:6292
95,P4:6319
96,P4:1704
97,P4:1731
98,P4:95
99,P4:1010
100,P4:2832
101,P4:3529
102,P4:4904
103,P4:4877
104,P4:2859
105,P4:3556
106,P4:3762
107,P4:6084
108,P4:3047
109,P4:6059
110,P4:3767
111,P4:3068
112,P4:3785
113,P4:3794
114,P4:3758
115,P4:3789
116,P4:3050
117,P4:3073
118,P4:3064
119,P4:3044
120,P4:28
121,P4:3765
122,P4:3071
123,P4:89
124,P4:3792
125,P4:4666
126,P4:3053
127,P4:3770
128,P4:2615
129,P4:60
130,P4:3304
131,P4:3277
132,P4:1713
133,P4:996
134,P4:1740
135,P4:1019
136,P4:2619
137,P4:533
138,P4:2596
139,P4:3308
140,P4:554
141,P4:3281
142,P4:788
143,P4:761
144,P4:5356
145,P4:4694
146,P4:4691
147,P4:2601
148,P4:3286
149,P4:2624
150,P4:3313
151,P4:1216
152,P4:1243
153,P4:5353
154,P4:3292
155,P4:2605
156,P4:1485
157,P4:1458
158,P4:3319
159,P4:2630
160,P4:986
161,P4:1701
162,P4:1007
163,P4:1728
164,P4:3768
165,P4:3795
166,P4:3051
167,P4:3074
168,P4:3559
169,P4:2845
170,P4:2818
171,P4:3542
172,P4:3515
173,P4:3532
174,P4:2862
175,P4:2835
176,P4:3777
177,P4:3804
178,P4:122
179,P4:3083
180,P4:5383
181,P4:4677
182,P4:4654
183,P4:5380
184,P4:3056
185,P4:3773
186,P4:3054
187,P4:3771
188,P4:3079
189,P4:3800
190,P4:3077
191,P4:540
192,P4:3798
193,P4:4912
194,P4:4885
195,P4:566
196,P4:3058
197,P4:2854
198,P4:3082
199,P4:2827
200,P4:3776
201,P4:3551
202,P4:3803
203,P4:3524
204,P4:543
205,P4:1255
206,P4:1225
207,P4:3317
208,P4:1228
209,P4:3295
210,P4:69
211,P4:3290
212,P4:2628
213,P4:2604
214,P4:2633
215,P4:3322
216,P4:1497
217,P4:800
218,P4:1470
219,P4:773
220,P4:4903
221,P4:4876
222,P4:3560
223,P4:2863
224,P4:3533
225,P4:3057
226,P4:2836
227,P4:3774
228,P4:3518
229,P4:3545
230,P4:2821
231,P4:2848
232,P4:3080
233,P4:3801
234,P4:3786
235,P4:4899
236,P4:3759
237,P4:5857
238,P4:4902
239,P4:3065
240,P4:2838
241,P4:47
242,P4:3535
243,P4:2611
244,P4:88
245,P4:3300
246,P4:3273
247,P4:764
248,P4:5830
249,P4:791
250,P4:2865
251,P4:3293
252,P4:3562
253,P4:2606
254,P4:1264
255,P4:575
256,P4:5860
257,P4:3320
258,P4:2631
259,P4:567
260,P4:1237
261,P4:5136
262,P4:5820
263,P4:993
264,P4:549
265,P4:5833
266,P4:1710
267,P4:1461
268,P4:5859
269,P4:1016
270,P4:1488
271,P4:5832
272,P4:2864
273,P4:3561
274,P4:2837
275,P4:3534
276,P4:5599
277,P4:5113
278,P4:2620
279,P4:1737
280,P4:3309
281,P4:4668
282,P4:108
283,P4:2597
284,P4:3282
285,P4:1256
286,P4:5847
287,P4:5829
288,P4:5148
289,P4:4926
290,P4:5139
291,P4:5596
292,P4:5823
293,P4:5105
294,P4:4929
295,P4:1723
296,P4:5138
297,P4:5115
298,P4:5821
299,P4:5145
300,P4:544
301,P4:5869
302,P4:68
303,P4:4667
304,P4:5116
305,P4:5112
306,P4:3061
307,P4:1003
308,P4:5850
309,P4:5126
310,P4:5842
311,P4:5831
312,P4:5120
313,P4:3780
314,P4:5866
315,P4:3802
316,P4:5107
317,P4:3775
318,P4:3081
319,P4:113
320,P4:1229
321,P4:5858
322,P4:5114
323,P4:3086
324,P4:5839
325,P4:3807
326,P4:5137
327,P4:5147
328,P4:5626
329,P4:5129
330,P4:5106
331,P4:5848
332,P4:5121
333,P4:5868
334,P4:5623
335,P4:5841
336,P4:5824
337,P4:1261
338,P4:2629
339,P4:3318
340,P4:572
341,P4:1750
342,P4:100
343,P4:3291
344,P4:2841
345,P4:3538
346,P4:1234
347,P4:3527
348,P4:2839
349,P4:2830
350,P4:3536
351,P4:547
352,P4:1029
353,P4:2868
354,P4:3565
355,P4:2866
356,P4:4693
357,P4:5127
358,P4:3563
359,P4:5851
360,P4:55
361,P4:71
362,P4:3294
363,P4:2607
364,P4:3783
365,P4:3321
366,P4:2632
367,P4:3296
368,P4:3552
369,P4:2608
370,P4:3525
371,P4:5144
372,P4:2855
373,P4:2828
374,P4:3089
375,P4:3323
376,P4:2634
377,P4:2840
378,P4:3537
379,P4:3810
380,P4:1480
381,P4:2867
382,P4:3564
383,P4:5119
384,P4:783
385,P4:3060
386,P4:5865
387,P4:1507
388,P4:797
389,P4:3779
390,P4:3085
391,P4:1494
392,P4:810
393,P4:770
394,P4:3806
395,P4:5838
396,P4:1467
397,P4:5130
398,P4:1720
399,P4:5355
400,P4:3521
401,P4:3548
402,P4:1001
403,P4:2824
404,P4:2851
405,P4:1508
406,P4:1481
407,P4:5583
408,P4:5610
409,P4:75
410,P4:1722
411,P4:811
412,P4:784
413,P4:3084
414,P4:1505
415,P4:3059
416,P4:1478
417,P4:3805
418,P4:5828
419,P4:3778
420,P4:5855
421,P4:1747
422,P4:1749
423,P4:1028
424,P4:3543
425,P4:3516
426,P4:2846
427,P4:808
428,P4:2819
429,P4:781
430,P4:5849
431,P4:5111
432,P4:4901
433,P4:5822
434,P4:5128
435,P4:1026
436,P4:5134
437,P4:70
438,P4:5382
439,P4:3324
440,P4:2635
441,P4:3297
442,P4:51
443,P4:2842
444,P4:2843
445,P4:3539
446,P4:3540
447,P4:1477
448,P4:5844
449,P4:5817
450,P4:2870
451,P4:3567
452,P4:2869
453,P4:3566
454,P4:1504
455,P4:5340
456,P4:3062
457,P4:780
458,P4:3782
459,P4:3088
460,P4:5367
461,P4:807
462,P4:3809
463,P4:774
464,P4:1471
465,P4:801
466,P4:4928
467,P4:1498
468,P4:5846
469,P4:5819
470,P4:5601
471,P4:5574
472,P4:5598
473,P4:3087
474,P4:82
475,P4:765
476,P4:792
477,P4:3808
478,P4:5125
479,P4:3781
480,P4:5123
481,P4:5103
482,P4:5104
483,P4:5358
484,P4:5331
485,P4:1462
486,P4:1489
487,P4:5582
488,P4:5625
489,P4:5609
490,P4:5586
491,P4:1013
492,P4:990
493,P4:5587
494,P4:1734
495,P4:5614
496,P4:1707
497,P4:4890
498,P4:4917
499,P4:5339
500,P4:1503
501,P4:5366
502,P4:806
503,P4:3519
504,P4:2822
505,P4:3546
506,P4:2849
507,P4:1476
508,P4:779
509,P4:3530
510,P4:2833
511,P4:2599
512,P4:2860
513,P4:3557
514,P4:3284
515,P4:771
516,P4:1468
517,P4:5577
518,P4:2831
519,P4:3528
520,P4:5590
521,P4:5617
522,P4:2858
523,P4:5343
524,P4:3555
525,P4:5604
526,P4:2613
527,P4:4920
528,P4:4893
529,P4:2592
530,P4:3302
531,P4:3275
532,P4:3522
533,P4:2825
534,P4:2852
535,P4:3549
536,P4:1733
537,P4:1012
538,P4:1706
539,P4:49
540,P4:1000
541,P4:4889
542,P4:1025
543,P4:1023
544,P4:999
545,P4:1490
546,P4:793
547,P4:1463
548,P4:766
549,P4:5578
550,P4:1719
551,P4:5132
552,P4:5109
553,P4:5853
554,P4:5826
555,P4:1744
556,P4:1717
557,P4:1746
558,P4:1714
559,P4:5605
560,P4:4881
561,P4:802
562,P4:1499
563,P4:997
564,P4:775
565,P4:1472
566,P4:5357
567,P4:5330
568,P4:5334
569,P4:4908
