,phenotype_id,counts,marker_definition,parent_population
0,MFI:114,7,CD11c Cy5 PE,Lin-DR+/14-/mDC/XPres/CD32
1,MFI:363,7,CD45RA Cy55 PE,Lymphs/CD3 T/NKT/4+R5-/RA
2,MFI:16,7,CD16 Cy55 PE,Lin-DR+/14-/11c+ (nodim)/1c-/16+/CD274
3,MFI:86,6,CD11c Cy5 PE,Lin-DR+/14-/mDC/1c-/16+/CD274
4,MFI:26,6,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/1c-/16+/CD64
5,MFI:172,6,CD38 CF594 pe,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgM+/38+
6,MFI:56,5,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/XPres/CD64
7,MFI:131,5,CD123 PE,Lin-DR+/14-/PDC/CD64
8,MFI:373,5,CD3 BV785,Lymphs/CD3 T/NKT/4+R5/28
9,MFI:370,5,CD28 Cy5 PE,Lymphs/CD3 T/NKT/4+R5/28
10,MFI:305,5,CD8 QD585,Lymphs/CD3 T/CD8/Naive/PD1
11,MFI:27,5,CD16 Cy55 PE,Lin-DR+/14-/11c+ (nodim)/1c-/16+/CD64
12,MFI:369,5,CD3 BV785,Lymphs/CD3 T/NKT/4+R5/27
13,MFI:57,4,HLA-DR Ax680,Lin-DR+/14-/11c+ (nodim)/XPres/CD64
14,MFI:636,4,CD3 BV785,Lymphs/T cells/DPT/25
15,MFI:414,4,CD3 BV785,Lymphs/CD3 T/Vg9+/Vd2Hi/R7
16,MFI:435,4,CD3 BV785,Lymphs/CD3 T/Vg9+/Vd2Low/RA
17,MFI:439,4,CD34 BV421,Lymphs/CD34
18,MFI:441,4,*CD34 BV421,Lymphs/CD34
19,MFI:45,4,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/XPres/CD274
20,MFI:455,4,CCR7 CF594 PE,Lymphs/nonT/NK/16+56-/R7
21,MFI:478,4,CD2 Cy55 PE,Lymphs/nonT/NK/56+16-/2
22,MFI:402,4,CD3 BV785,Lymphs/CD3 T/Vg9+/Vd2Hi/27
23,MFI:50,4,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/XPres/CD32
24,MFI:353,4,CD3 BV785,Lymphs/CD3 T/NKT/4-8/RA
25,MFI:20,4,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/1c-/16+/CD32
26,MFI:351,4,CD8 QD585,Lymphs/CD3 T/NKT/4-8/RA
27,MFI:74,4,CD11c Cy5 PE,Lin-DR+/14-/mDC/1c-/16-/CD274
28,MFI:345,4,CD3 BV785,Lymphs/CD3 T/NKT/4-8/28
29,MFI:338,3,CD8 QD585,Lymphs/CD3 T/NKT/4-8/27
30,MFI:301,3,CD3 Ax594,Lymphs/CD3 T/CD8/Naive/161
31,MFI:434,3,CD45RA Cy55 PE,Lymphs/CD3 T/Vg9+/Vd2Low/RA
32,MFI:341,3,CD3 BV785,Lymphs/CD3 T/NKT/4-8/27
33,MFI:8,3,CD32 APC,Lin-DR+/14-/11c+ (nodim)/1c-/16-/CD32
34,MFI:30,3,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/1c+/CD274
35,MFI:68,3,CD123 PE,Lin-DR+/14-/11c+123+/CD64
36,MFI:95,3,CD11c Cy5 PE,Lin-DR+/14-/mDC/1c-/16+/CD64
37,MFI:299,3,CD8 QD585,Lymphs/CD3 T/CD8/Memory/XR5
38,MFI:190,3,IgA PE,Lymphs/B cells/CD10-/CD95+/IgA/27+
39,MFI:322,3,CD8 QD585,Lymphs/CD3 T/CD8/R5
40,MFI:171,3,IgM BV570,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgM+/27+
41,MFI:98,3,CD11c Cy5 PE,Lin-DR+/14-/mDC/1c+/CD274
42,MFI:21,3,CD16 Cy55 PE,Lin-DR+/14-/11c+ (nodim)/1c-/16+/CD32
43,MFI:122,3,CD123 PE,Lin-DR+/14-/PDC/CD274
44,MFI:616,3,CD3 BV785,Lymphs/T cells/DNT/PD1
45,MFI:356,3,CD3 BV785,Lymphs/CD3 T/NKT/4+R5-/27
46,MFI:255,3,CD3 Ax594,Lymphs/CD3 T/CD4/Naive/PD1
47,MFI:366,3,CCR5 Cy7 APC,Lymphs/CD3 T/NKT/4+R5/27
48,MFI:113,3,CD123 PE,Lin-DR+/14-/mDC/XPres/CD32
49,MFI:368,2,CD27 QD655,Lymphs/CD3 T/NKT/4+R5/27
50,MFI:207,2,CD95 y5 PE,Lymphs/B cells/CD10-/CD95+/IgG+/24+
51,MFI:419,2,CD27 QD655,Lymphs/CD3 T/Vg9+/Vd2Low/27
52,MFI:375,2,CCR5 Cy7 APC,Lymphs/CD3 T/NKT/4+R5/R7
53,MFI:364,2,CD4 QD605,Lymphs/CD3 T/NKT/4+R5-/RA
54,MFI:408,2,CD3 BV785,Lymphs/CD3 T/Vg9+/Vd2Hi/8
55,MFI:83,2,CD11c Cy5 PE,Lin-DR+/14-/mDC/1c-/16-/CD64
56,MFI:218,2,CD38 CF594 pe,Lymphs/B cells/CD10-/CD95+/IgG+/38+
57,MFI:327,2,CD45RA Cy55 PE,Lymphs/CD3 T/CD8/RA
58,MFI:112,2,HLA-DR Ax680,Lin-DR+/14-/mDC/XPres/CD274
59,MFI:380,2,CD4 QD605,Lymphs/CD3 T/NKT/4+R5/RA
60,MFI:457,2,CD2 Cy55 PE,Lymphs/nonT/NK/16+56/2
