iKIR Score,Prob,Min Threshold,Max Threshhold
0,0.000176866,0,0.000176866
0.75,0.221436151,0.000176866,0.221613017
1,0.006897771,0.221613017,0.228510789
1.5,0.001238062,0.228510789,0.22974885
1.75,0.282101167,0.22974885,0.511850018
2,0.048107534,0.511850018,0.559957552
2.25,0.000176866,0.559957552,0.560134418
2.5,0.016271666,0.560134418,0.576406084
2.75,0.310753449,0.576406084,0.887159533
3.25,0.032720198,0.887159533,0.919879731
3.5,0.006013442,0.919879731,0.925893173
4.25,0.074106827,0.925893173,1
