,feature_name,nlog_p_0,nlog_p_1,nlog_p_2,nlog_p_3,nlog_p_4,nlog_p_5,Trait ID,Subset or Surface Protein,Full Subset Name,max_nlog_p
67,P4:1187,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1187,CD2+314-334-337+158b-,16+56-/CD2+314-334-337+158b-,17.726112259158764
77,P4:1429,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1429,314-334-337+,16+56-/314-334-337+,17.726112259158764
84,P4:1520,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1520,CD2+314-337+158a+,16+56-/CD2+314-337+158a+,17.726112259158764
83,P4:1519,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1519,314-337+158a+,16+56-/314-337+158a+,17.726112259158764
82,P4:1514,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1514,CD2+334-337+158a+,16+56-/CD2+334-337+158a+,17.726112259158764
81,P4:1511,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1511,CD2+314-334-337+158a+,16+56-/CD2+314-334-337+158a+,17.726112259158764
80,P4:1510,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1510,314-334-337+158a+,16+56-/314-334-337+158a+,17.726112259158764
78,P4:1430,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1430,CD2+314-334-337+,16+56-/CD2+314-334-337+,17.726112259158764
75,P4:1277,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1277,CD2+314-337+158a+158b-,16+56-/CD2+314-337+158a+158b-,17.726112259158764
156,P4:505,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:505,314-334-337+158b-R7-,16+56-/314-334-337+158b-R7-,17.726112259158764
74,P4:1276,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1276,314-337+158a+158b-,16+56-/314-337+158a+158b-,17.726112259158764
73,P4:1271,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1271,CD2+334-337+158a+158b-,16+56-/CD2+334-337+158a+158b-,17.726112259158764
72,P4:1270,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1270,334-337+158a+158b-,16+56-/334-337+158a+158b-,17.726112259158764
71,P4:1268,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1268,CD2+314-334-337+158a+158b-,16+56-/CD2+314-334-337+158a+158b-,17.726112259158764
70,P4:1267,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1267,314-334-337+158a+158b-,16+56-/314-334-337+158a+158b-,17.726112259158764
66,P4:1186,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:1186,314-334-337+158b-,16+56-/314-334-337+158b-,17.726112259158764
