,feature,importance_mean,importance_std
0,MFI:469,0.021019826108207292,0.00821765475158163
1,P4:5263,0.014139470282554537,0.005024796141688739
2,P2:16111,0.010658011695040846,0.006121100431673911
3,P7 Mono:1287,0.009815854694396857,0.003646194628348757
4,P1:20054,0.007078219663867299,0.005344093407007668
5,P4:3052,0.005363999083484172,0.0017124731805643538
6,P5 gd:1927,0.005054086921188114,0.003337370250796421
7,P1:10240,0.0038370194760753117,0.0011586319084659134
8,P5 gd:523,0.003750993829591729,0.002948815996414574
9,P7:31,0.0029472866967720445,0.0027020262225256283
10,P5 gd:393,0.00014798154036588547,0.0034221791622666723
