,labels
725,P7 Mono:5308
1078,P4:5179
2879,P4:5927
4412,P6 earlyB:127
4987,P5 CD8:148
5358,P3:5879
5694,P1:5924
5983,P4:4546
6047,P2:25272
6121,P3:856
6438,P5 gd:382
6487,P4:5260
7107,MFI:121
8507,P2:23337
12285,P3:5166
12335,P2:25248
12442,P4:3087
12599,P3:7900
13269,P1:22210
13345,P7 Mono:930
14364,P3:7978
14798,MFI:457
15058,P3:5660
15147,P4:6239
15899,MFI:469
16033,P3:5798
17088,P2:22439
17119,P4:5491
17184,P1:12669
17205,P1:20389
18097,P3:8351
19522,MFI:131
19976,P5 gd:1114
20243,P4:6212
20805,P5 gd:1699
22358,P3:8587
22545,P1:20054
22871,P5 gd:1727
23578,P2:11733
24314,P2:11734
27112,P1:22453
27562,P7 Mono:5284
28834,P5 gd:274
28943,P5 gd:1934
29627,P7 Mono:5604
30549,P4:6286
31184,P3:5097
31233,P7 Mono:5311
34238,MFI:16
34456,P2:1643
35169,P1:10564
37145,P4:5281
37846,P1:22213
37917,P4:6131
38117,P1:24828
38620,P7 Mono:6426
38664,P1:23378
39075,P2:22358
39213,P4:3808
39443,P3:7897
40638,P4:5206
40724,P5 gd:1702
41786,P5 gd:1983
42174,P5 gd:197
42347,P4:3781
42953,P5 gd:370
46257,P1:12660
46298,P7 Mono:5527
48407,P4:6000
49288,P5 gd:265
49338,P4:5287
49398,P5 gd:1328
50978,P4:5254
51725,P2:20142
52068,P1:20308
52692,P1:10537
52906,P7 Mono:5554
53329,P1:10536
55546,P4:4794
56259,P4:82
59151,P1:20127
59516,MFI:472
59636,P2:24551
59722,P4:6158
60101,P5 gd:169
61174,P3:8354
61767,P5 gd:459
61943,P7 Mono:3872
61978,P4:32
62430,MFI:570
