,label,forward_selected,backward_selected
0,P7 Mono:5308,False,False
1,P4:5179,False,False
2,P5 CD8:148,False,False
3,P3:5879,False,False
4,P5 gd:382,True,True
5,P4:5260,False,False
6,P7 Mono:1287,True,True
7,P3:5166,False,False
8,P1:22210,True,True
9,MFI:457,True,True
10,P4:6239,True,True
11,MFI:469,True,True
12,P1:12669,False,False
13,P1:20389,True,True
14,P1:23925,True,True
15,MFI:131,True,True
16,P5 gd:1114,True,True
17,P4:6212,True,True
18,P2:7652,False,False
19,P4:3052,False,False
20,P7 Mono:5317,False,False
21,P1:20054,False,False
22,P1:23196,True,True
23,P5 gd:373,False,False
24,P1:20711,True,True
25,P7 Mono:5311,True,True
26,P1:10564,True,True
27,P7 Mono:5551,False,False
28,P4:5281,True,True
29,P1:22213,True,True
30,P4:6131,True,False
31,P4:5206,False,False
32,P5 gd:1983,False,True
33,P5 gd:370,True,True
34,P4:3796,False,False
35,P1:12660,True,True
36,P4:5287,False,False
37,P4:5254,True,True
38,MFI:21,True,True
39,P7 Mono:5554,False,False
40,P1:10536,False,False
41,P4:3769,False,False
42,P4:3075,False,False
43,P7 Mono:5320,False,False
44,P1:20127,False,False
45,P4:6158,True,True
46,P3:8354,True,True
47,P7 Mono:4115,False,False
48,P7 Mono:3872,False,False
49,MFI:570,True,True
