,feature_name,marker_definition,parent_population,en_betas,p_1
0,P5 gd:1462,27+28-RA-R5+R7+,Vg9+/Vd2Hi,0.0,0.527796
1,P7 Mono:5374,11c+16+123+141-DR+,Monocytes,-0.0,0.00980366
2,P2:9356,127+DR+PD1+RO-,CD8,-0.0,0.220774
3,P1:12689,28+95+RA+,CD8,-0.0,0.00523681
4,P1:11703,27+28+31-57+127-244-RA+,CD8,-0.0,0.410041
5,P3:890,R4-R6-R10+XR5-,CD4/Memory,0.0,0.170002
6,P1:12348,27+28+31+57-127-RA+,CD8,-0.0,0.473058
7,P3:5347,161-PD1+R4+R10-XR3-,CD8/Memory,0.0,0.828656
8,P1:8139,27-28-57+127-RA-,CD8,0.0,0.734653
9,P2:25504,25+39-73-127+DR+RO+,DPT,-0.0,0.00966774
10,P5 gd:515,8-28-,CD3 T/VD1,0.0,0.749575
11,P3:4024,PD1+R6+R10-XR3-XR5+,CD4/Naive,-0.0,0.259428
12,P1:3338,27+28-57-95-244-,CD4,-0.0,0.446997
13,MFI:530,CD3 BV785,Lymphs/T cells/CD4/DR,0.0,0.667124
14,P2:10707,39+73-DR+,CD8,-0.0,0.439145
15,P1:9546,31+57+127-244-,CD8,-0.0,0.0590619
16,P1:11430,28+57-127+244+,CD8,-0.0,0.311768
17,P3:151,161+PD1+R4-R6-R10+XR3+XR5-,CD8/Naive,-0.0,0.652873
18,P2:12275,38+39-127-DR-RO+,CD8,-0.0,0.11189
19,P1:21422,27+31+57-127-244+RA-,DPT,-0.0,0.59696
20,P2:23631,25-73-127+DR-PD1+,DPT,0.0,0.499281
21,P2:25842,25-38+39+127-PD1+RO+,DPT,-0.0,0.399669
22,P7 Mono:5108,11c-16-64-123+141+274-DR+,Monocytes,-0.0,0.469913
23,P7 Mono:6011,32+141-274+DR+,Monocytes,-0.0,0.484736
24,P3:2753,PD1+R10+XR3-XR5-,CD4/Naive,-0.0,0.115135
25,P2:7168,25+39-73+127-DR+PD1+RO+,CD4,0.0,0.022952
26,P4:3725,334+158b+,16+56,-0.0,0.286449
27,P7 Mono:3139,64-141-,Monocytes,0.0,0.156303
28,P7 Mono:2169,16+32+64+123-141+274+DR-,Monocytes,-0.0,0.78767
29,P1:5958,31+57-95-127-RA+,CD4,-0.0,0.29038
30,P1:20851,27-31-57-95-RA-,DPT,-0.0,0.206244
31,P2:2688,39-73+127-PD1+RO-,CD4,-0.0,0.607362
32,P5 gd:750,8+27-R7+,CD3 T/VD1,-0.0,0.244881
33,P1:7867,27-28-31+57-127+244-RA-,CD8,0.0,0.158869
34,P1:1624,27+28+31+57+127+244-RA-,CD4,-0.0,0.225479
35,P1:11996,27+28-31+95+244-RA+,CD8,-0.0,0.043345
36,P3:1518,PD1+R6-,CD4/Memory,0.0,0.226499
37,P1:3546,27-31-57+95+244-,CD4,0.0,0.253341
38,P4:6552,337+158a+158b+R7+,56+16-,-0.0,0.928899
39,P3:8729,161+PD1+R4+R10+XR3+XR5+,CD8/Naive,-0.0,0.635693
40,P4:6237,CD2-334+R7+,56+16-,0.0,0.319236
41,P1:9244,28-31-57-127+244+RA-,CD8,-0.0,0.458538
42,P1:23741,27+95-244+,DPT,0.0,0.336899
